A,B,C,G,,,,
44946,42119,42515,0,329.67,295.89,14.27,185.50
45035,42119,42515,0,328.90,294.34,14.64,185.62
45035,40680,42515,0,330.76,293.88,14.97,185.74
45035,40680,42587,0,332.46,292.49,15.07,185.85
45035,40680,42587,0,332.58,292.19,15.11,185.88
45679,40680,42587,0,333.22,291.71,15.31,186.00
45679,40813,42587,0,333.56,291.60,15.41,186.11
45679,40813,42264,0,333.32,291.66,15.55,186.23
45679,40813,42264,0,332.79,291.84,15.61,186.25
44865,40813,42264,0,334.41,291.29,15.89,186.37
44865,40154,42264,0,335.02,291.01,16.04,186.48
44865,40154,42689,0,335.81,291.57,16.20,186.60
44865,40154,42689,0,336.13,292.19,16.23,186.63
45573,40154,42689,0,336.05,291.24,16.51,186.75
45573,40351,42689,0,335.76,291.92,16.58,186.86
45573,40351,42746,0,335.27,292.14,16.61,186.98
45573,40351,42746,0,335.16,292.50,16.62,187.00
45048,40351,42746,0,334.87,292.90,16.51,187.12
45048,40461,42746,0,335.49,292.81,16.42,187.23
45048,40461,42490,0,334.21,293.11,16.59,187.35
45048,40461,42490,0,334.16,293.39,16.62,187.38
45910,40461,42490,0,334.49,293.66,16.52,187.50
45910,40235,42490,0,334.18,294.12,16.44,187.61
45910,40235,42501,0,334.48,293.89,16.44,187.73
45910,40235,42501,0,334.21,293.86,16.44,187.75
45832,40235,42501,0,334.46,293.93,16.48,187.87
45832,40368,42501,0,333.93,294.08,16.47,187.99
45832,40368,42531,0,334.21,293.96,16.44,188.10
45832,40368,42531,0,334.14,294.10,16.41,188.13
45148,40368,42531,0,333.20,294.19,16.49,188.25
45148,39800,42531,0,332.56,294.09,16.67,188.36
45148,39800,42812,0,333.27,294.54,16.62,188.47
45148,39800,42812,0,333.17,294.65,16.63,188.50
45168,39800,42812,0,332.99,294.79,16.80,188.62
45168,40338,42812,0,333.52,295.34,17.01,188.73
45168,40338,42546,0,334.36,295.42,17.03,188.85
45168,40338,42546,0,334.08,295.08,17.05,188.88
45410,40338,42546,0,334.67,295.65,17.07,189.00
45410,39949,42546,0,335.14,295.03,17.03,189.11
45410,39949,42206,0,334.90,294.92,17.09,189.22
45410,39949,42206,0,335.04,295.08,17.09,189.25
44853,39949,42206,0,335.60,294.79,17.15,189.37
44853,39720,42206,0,335.41,295.20,17.17,189.48
44853,39720,42822,0,335.74,295.38,17.18,189.60
44853,39720,42822,0,335.35,295.28,17.18,189.62
45445,39720,42822,0,335.39,295.30,17.36,189.74
45445,40171,42822,0,335.01,295.44,17.34,189.85
45445,40171,42513,0,334.64,295.87,17.34,189.97
45445,40171,42513,0,334.76,295.78,17.33,190.00
45101,40171,42513,0,334.74,296.20,16.89,190.12
45101,39799,42513,0,334.59,296.91,16.52,190.23
45101,39799,42214,0,333.14,295.62,15.96,190.34
45101,39799,42214,0,332.39,295.36,15.83,190.37
44848,39799,42214,0,331.51,290.74,15.95,190.49
44848,39883,42214,0,329.97,288.71,16.68,190.60
44848,39883,42523,0,328.25,287.88,16.77,190.71
44848,39883,42523,0,327.27,287.72,16.75,190.74
44870,39883,42523,0,325.72,284.43,17.26,190.86
44870,40406,42523,0,322.09,283.31,18.01,190.97
44870,40406,42456,0,319.14,283.51,17.74,191.09
44870,40406,42456,0,318.57,283.94,17.72,191.11
44411,40406,42456,0,317.15,284.08,17.61,191.23
44411,40419,42456,0,316.08,285.92,17.84,191.35
44411,40419,42118,0,316.28,286.39,17.93,191.46
44411,40419,42118,0,317.02,286.29,17.97,191.49
44834,40419,42118,0,317.08,288.14,18.00,191.61
44834,40248,42118,0,316.99,288.09,18.18,191.72
44834,40248,42605,0,318.13,288.51,18.26,191.83
44834,40248,42605,0,319.34,288.18,18.27,191.86
45106,40248,42605,0,320.60,288.68,18.34,191.98
45106,40320,42605,0,321.31,288.88,18.34,192.09
45106,40320,42815,0,322.43,289.63,18.36,192.21
45106,40320,42815,0,323.40,289.65,18.36,192.23
45140,40320,42815,0,323.36,289.54,18.56,192.36
45140,40903,42815,0,324.66,289.39,18.63,192.47
45140,40903,42523,0,324.93,289.43,18.64,192.58
45140,40903,42523,0,325.17,289.33,18.65,192.61
45167,40903,42523,0,325.84,289.54,18.57,192.73
45167,39977,42523,0,326.47,289.91,18.49,192.84
45167,39977,42329,0,327.78,290.47,18.46,192.96
45167,39977,42329,0,327.80,290.50,18.46,192.98
45392,39977,42329,0,328.14,290.39,18.55,193.10
45392,40003,42329,0,328.43,290.38,18.64,193.21
45392,40003,42649,0,328.68,290.36,18.69,193.33
45392,40003,42649,0,328.87,290.63,18.71,193.36
45427,40003,42649,0,329.50,290.85,18.74,193.48
45427,40031,42649,0,329.70,291.03,18.65,193.59
45427,40031,42656,0,330.35,291.28,18.89,193.70
45427,40031,42656,0,330.52,291.27,18.89,193.73
45814,40031,42656,0,330.32,290.64,18.95,193.85
45814,40437,42656,0,329.64,290.34,18.98,193.96
45814,40437,42617,0,329.69,290.58,19.07,194.08
45814,40437,42617,0,329.85,290.72,19.09,194.11
45762,40437,42617,0,329.88,290.58,19.15,194.23
45762,39970,42617,0,329.94,290.57,19.25,194.34
45762,39970,42579,0,329.82,290.96,19.27,194.46
45762,39970,42579,0,329.99,291.17,19.27,194.48
46377,39970,42579,0,329.48,291.15,19.36,194.61
46377,40130,42579,0,329.63,291.29,19.44,194.72
46377,40130,42267,0,330.16,291.37,19.46,194.83
46377,40130,42267,0,329.64,291.22,19.44,194.86
45696,40130,42267,0,329.73,290.97,19.37,194.98
45696,39867,42267,0,329.47,291.01,19.27,195.09
45696,39867,42767,0,330.02,290.90,19.27,195.21
45696,39867,42767,0,329.57,290.82,19.25,195.23
46287,39867,42767,0,329.79,290.85,19.37,195.36
46287,39951,42767,0,330.33,290.87,19.28,195.47
46287,39951,42991,0,329.84,291.14,19.27,195.58
46287,39951,42991,0,330.03,291.19,19.27,195.61
46375,39951,42991,0,329.29,291.07,19.31,195.73
46375,40498,42991,0,328.92,291.12,19.35,195.84
46375,40498,42948,0,328.28,291.40,19.40,195.96
46375,40498,42948,0,328.43,291.28,19.36,195.99
45703,40498,42948,0,327.97,289.89,18.08,196.11
45703,40720,42948,0,326.66,290.39,17.74,196.22
45703,40720,42503,0,325.39,289.43,18.06,196.34
45703,40720,42503,0,325.07,289.61,18.09,196.36
45456,40720,42503,0,324.11,289.07,18.30,196.48
45456,40223,42503,0,323.86,289.32,18.38,196.60
45456,40223,42246,0,322.69,289.48,18.54,196.71
45456,40223,42246,0,322.94,289.60,18.56,196.74
45771,40223,42246,0,323.12,290.22,18.59,196.86
45771,40450,42246,0,323.87,290.32,18.68,196.97
45771,40450,42289,0,323.40,290.24,18.69,197.09
45771,40450,42289,0,323.35,290.29,18.71,197.11
45381,40450,42289,0,323.53,290.72,18.87,197.23
45381,39736,42289,0,324.32,290.74,18.90,197.34
45381,39736,42703,0,324.57,291.00,19.09,197.46
45381,39736,42703,0,324.80,290.82,19.10,197.49
45791,39736,42703,0,324.80,290.51,19.18,197.61
45791,40492,42703,0,324.98,290.56,19.29,197.72
45791,40492,42738,0,325.40,290.76,19.38,197.84
45791,40492,42738,0,325.61,290.72,19.38,197.86
45270,40492,42738,0,325.39,290.64,19.44,197.98
45270,40259,42738,0,324.89,290.50,19.35,198.09
45270,40259,42548,0,325.23,290.60,19.42,198.21
45270,40259,42548,0,325.36,290.56,19.40,198.24
46027,40259,42548,0,325.85,290.76,19.52,198.36
46027,40244,42548,0,325.97,290.44,19.47,198.47
46027,40244,42398,0,325.79,290.58,19.51,198.59
46027,40244,42398,0,325.89,290.61,19.52,198.61
45302,40244,42398,0,325.98,290.70,19.56,198.73
45302,39965,42398,0,325.69,290.62,19.52,198.84
45302,39965,42852,0,325.33,290.69,19.53,198.96
45302,39965,42852,0,325.54,290.83,19.54,198.99
45732,39965,42852,0,325.30,290.85,19.53,199.11
45732,40130,42852,0,325.27,291.02,19.53,199.22
45732,40130,43009,0,326.88,292.84,19.70,199.34
45732,40130,43009,0,326.49,292.34,19.71,199.36
46037,40130,43009,0,326.25,292.02,19.66,199.48
46037,40447,43009,0,325.82,291.91,19.66,199.60
46037,40447,42992,0,325.02,291.22,19.76,199.71
46037,40447,42992,0,325.20,291.25,19.81,199.74
45601,40447,42992,0,324.93,288.92,20.16,199.86
45601,40658,42992,0,323.85,289.31,19.89,199.97
45601,40658,42865,0,323.21,288.54,19.92,200.09
45601,40658,42865,0,323.21,288.58,19.92,200.12
45817,40658,42865,0,323.38,288.39,19.55,200.24
45817,40272,42865,0,322.25,288.31,19.29,200.35
45817,40272,42649,0,321.18,288.44,19.19,200.46
45817,40272,42649,0,320.72,288.63,19.19,200.49
46151,40272,42649,0,320.64,288.72,19.23,200.61
46151,40323,42649,0,320.39,288.70,19.24,200.73
46151,40323,42612,0,320.44,288.84,19.24,200.84
46151,40323,42612,0,320.62,288.82,19.26,200.87
45517,40323,42612,0,320.78,289.13,19.20,200.99
45517,40191,42612,0,320.73,288.74,19.23,201.10
45517,40191,42803,0,320.53,289.15,19.28,201.22
45517,40191,42803,0,321.05,289.35,19.29,201.24
45672,40191,42803,0,320.32,289.36,19.36,201.36
45672,40133,42803,0,320.81,289.32,19.40,201.48
45672,40133,42920,0,323.50,291.61,19.37,201.59
45672,40133,42920,0,322.38,290.94,19.35,201.62
45979,40133,42920,0,321.76,290.40,19.63,201.74
45979,40446,42920,0,322.35,290.16,19.64,201.85
45979,40446,42871,0,322.28,289.71,19.57,201.97
45979,40446,42871,0,321.95,289.62,19.57,202.00
46266,40446,42871,0,321.95,289.57,19.70,202.12
46266,40762,42871,0,321.80,289.73,19.72,202.23
46266,40762,42884,0,321.99,289.62,19.60,202.35
46266,40762,42884,0,321.39,289.45,19.60,202.37
46043,40762,42884,0,321.61,289.10,19.68,202.50
46043,40146,42884,0,322.10,289.13,19.76,202.61
46043,40146,42595,0,321.97,289.07,19.72,202.72
46043,40146,42595,0,321.65,289.03,19.73,202.75
46388,40146,42595,0,322.06,289.17,19.70,202.87
46388,40197,42595,0,321.94,289.12,19.71,202.98
46388,40197,42561,0,322.59,289.36,19.66,203.10
46388,40197,42561,0,322.46,289.43,19.63,203.13
45973,40197,42561,0,321.90,289.22,19.76,203.25
45973,40379,42561,0,321.94,289.14,19.87,203.36
45973,40379,42483,0,321.59,289.26,19.76,203.47
45973,40379,42483,0,321.04,289.30,19.77,203.50
45464,40379,42483,0,321.12,289.41,19.86,203.62
45464,39722,42483,0,320.78,289.43,19.84,203.73
45464,39722,43015,0,320.22,289.34,19.90,203.85
45464,39722,43015,0,319.77,289.02,19.89,203.88
45590,39722,43015,0,319.94,289.20,20.09,204.00
45590,40284,43015,0,320.28,289.48,20.12,204.11
45590,40284,43078,0,319.80,289.43,20.17,204.23
45590,40284,43078,0,320.03,289.50,20.19,204.25
45376,40284,43078,0,320.59,289.69,20.22,204.37
45376,39854,43078,0,321.36,289.43,20.29,204.48
45376,39854,42733,0,321.95,289.95,20.39,204.60
45376,39854,42733,0,322.13,289.99,20.41,204.63
45867,39854,42733,0,321.94,289.92,20.58,204.75
45867,40103,42733,0,321.88,289.43,20.66,204.86
45867,40103,42676,0,321.85,289.52,20.78,204.97
45867,40103,42676,0,321.66,289.47,20.81,205.00
45642,40103,42676,0,321.54,289.34,20.85,205.12
45642,39911,42676,0,320.77,288.91,20.90,205.23
45642,39911,43002,0,320.97,288.75,20.96,205.35
45642,39911,43002,0,321.45,289.03,20.96,205.38
45668,39911,43002,0,321.30,289.10,20.92,205.50
45668,39676,43002,0,320.12,289.01,20.93,205.61
45668,39676,43128,0,320.06,288.88,21.04,205.72
45668,39676,43128,0,319.95,288.75,21.06,205.75
45762,39676,43128,0,319.83,288.78,21.19,205.87
45762,40026,43128,0,319.84,289.11,21.23,205.98
45762,40026,42951,0,319.51,289.41,21.38,206.10
45762,40026,42951,0,320.13,289.77,21.40,206.13
45002,40026,42951,0,320.61,289.89,21.46,206.25
45002,39468,42951,0,320.50,290.81,21.48,206.36
45002,39468,42773,0,321.55,290.31,21.61,206.47
45002,39468,42773,0,321.77,290.20,21.60,206.50
45831,39468,42773,0,321.38,289.93,21.54,206.62
45831,39305,42773,0,322.10,289.45,21.51,206.73
45831,39305,42859,0,321.17,288.64,21.46,206.85
45831,39305,42859,0,320.58,288.57,21.46,206.87
45122,39305,42859,0,320.97,288.68,21.36,206.99
45122,39369,42859,0,319.89,287.75,21.44,207.10
45122,39369,42832,0,318.73,286.62,21.66,207.22
45122,39369,42832,0,318.52,286.51,21.72,207.25
44797,39369,42832,0,318.16,284.39,21.96,207.37
44797,39307,42832,0,317.32,284.01,22.37,207.48
44797,39307,42504,0,315.59,284.05,22.62,207.59
44797,39307,42504,0,314.99,284.26,22.68,207.62
45018,39307,42504,0,314.39,284.89,22.68,207.74
45018,39418,42504,0,314.44,285.28,22.72,207.85
45018,39418,42893,0,315.65,285.85,22.89,207.96
45018,39418,42893,0,316.08,285.94,22.88,207.99
44953,39418,42893,0,316.17,286.43,22.94,208.11
44953,39847,42893,0,315.97,286.79,22.89,208.22
44953,39847,43103,0,315.99,286.81,22.90,208.34
44953,39847,43103,0,315.74,286.43,22.88,208.36
44813,39847,43103,0,316.52,286.77,22.85,208.48
44813,39216,43103,0,316.53,287.01,22.92,208.59
44813,39216,42611,0,316.78,286.69,22.86,208.71
44813,39216,42611,0,316.21,286.39,22.85,208.74
45107,39216,42611,0,316.69,286.34,22.92,208.86
45107,39367,42611,0,316.90,286.40,22.95,208.97
45107,39367,42953,0,316.79,285.31,23.15,209.08
45107,39367,42953,0,316.58,285.24,23.20,209.11
44843,39367,42953,0,315.56,284.81,23.33,209.23
44843,39681,42953,0,314.73,284.65,23.34,209.34
44843,39681,42859,0,313.14,284.30,23.33,209.45
44843,39681,42859,0,312.76,284.08,23.32,209.48
44741,39681,42859,0,312.76,284.76,23.52,209.60
44741,39155,42859,0,313.69,285.27,23.50,209.71
44741,39155,42523,0,314.81,286.04,23.42,209.83
44741,39155,42523,0,315.20,286.21,23.42,209.85
44222,39155,42523,0,315.63,285.97,23.49,209.97
44222,38850,42523,0,316.71,286.09,23.42,210.08
44222,38850,43019,0,316.21,286.19,23.39,210.20
44222,38850,43019,0,315.87,286.02,23.39,210.22
44694,38850,43019,0,316.10,285.97,23.44,210.34
44694,39047,43019,0,317.23,286.06,23.38,210.45
44694,39047,42533,0,317.04,286.18,23.38,210.57
44694,39047,42533,0,317.07,286.18,23.39,210.59
44684,39047,42533,0,316.90,285.91,23.32,210.71
44684,38916,42533,0,316.56,285.80,23.41,210.82
44684,38916,42949,0,316.68,285.55,23.46,210.94
44684,38916,42949,0,316.52,285.69,23.53,210.96
44680,38916,42949,0,315.89,285.61,23.71,211.08
44680,39465,42949,0,316.51,286.06,23.65,211.19
44680,39465,42635,0,315.96,285.87,23.64,211.31
44680,39465,42635,0,315.38,285.69,23.66,211.34
44764,39465,42635,0,315.39,286.03,23.76,211.46
44764,39038,42635,0,315.91,286.63,23.66,211.56
44764,39038,42483,0,316.04,286.68,23.64,211.68
44764,39038,42483,0,317.56,287.38,23.67,211.71
44262,39038,42483,0,317.87,287.41,23.86,211.83
44262,38813,42483,0,317.79,287.47,23.94,211.93
44262,38813,42833,0,318.44,287.26,23.98,212.05
44262,38813,42833,0,318.06,287.14,23.97,212.08
44985,38813,42833,0,318.33,287.03,24.01,212.20
44985,38673,42833,0,318.35,286.94,24.13,212.30
44985,38673,42410,0,317.94,286.77,24.12,212.42
44985,38673,42410,0,317.75,286.87,24.14,212.45
44242,38673,42410,0,318.09,286.99,24.02,212.57
44242,38714,42410,0,318.39,286.92,24.06,212.67
44242,38714,43086,0,317.58,286.19,24.18,212.79
44242,38714,43086,0,318.03,286.28,24.17,212.82
44731,38714,43086,0,317.23,285.51,24.26,212.94
44731,38709,43086,0,316.98,285.78,24.35,213.04
44731,38709,42600,0,317.33,285.90,24.25,213.16
44731,38709,42600,0,316.57,285.85,24.25,213.19
44132,38709,42600,0,316.93,286.24,24.27,213.31
44132,38631,42600,0,316.70,286.39,24.28,213.41
44132,38631,43160,0,317.75,286.64,24.31,213.53
44132,38631,43160,0,317.98,286.65,24.32,213.56
44787,38631,43160,0,318.43,287.28,24.41,213.68
44787,38764,43160,0,317.74,287.01,24.40,213.78
44787,38764,42599,0,317.95,286.97,24.38,213.90
44787,38764,42599,0,318.03,286.97,24.38,213.93
44945,38764,42599,0,317.83,287.49,24.35,214.05
44945,38609,42599,0,317.46,287.63,24.34,214.15
44945,38609,43090,0,318.01,287.46,24.25,214.27
44945,38609,43090,0,317.94,287.59,24.22,214.30
44815,38609,43090,0,317.87,287.75,24.19,214.42
44815,38845,43090,0,317.78,287.35,24.14,214.53
44815,38845,42748,0,317.65,287.12,24.28,214.64
44815,38845,42748,0,317.96,286.83,24.31,214.67
45331,38845,42748,0,317.17,286.68,24.37,214.79
45331,38665,42748,0,317.28,286.85,24.37,214.90
45331,38665,42787,0,316.99,286.73,24.48,215.01
45331,38665,42787,0,317.10,286.68,24.51,215.04
44347,38665,42787,0,317.09,286.75,24.50,215.16
44347,38873,42787,0,316.75,286.89,24.51,215.27
44347,38873,43116,0,317.29,286.56,24.54,215.38
44347,38873,43116,0,316.74,286.37,24.53,215.41
44650,38873,43116,0,317.34,286.32,24.67,215.53
44650,38887,43116,0,317.15,286.49,24.70,215.64
44650,38887,42824,0,317.40,286.55,24.74,215.76
44650,38887,42824,0,317.00,286.49,24.75,215.78
44207,38887,42824,0,317.34,286.84,24.83,215.90
44207,38699,42824,0,317.08,287.00,24.83,216.01
44207,38699,43435,0,316.33,286.72,24.88,216.13
44207,38699,43435,0,316.68,286.83,24.88,216.15
44452,38699,43435,0,316.20,286.54,24.85,216.27
44452,38792,43435,0,316.82,285.22,25.32,216.38
44452,38792,42514,0,314.83,283.81,25.64,216.50
44452,38792,42514,0,313.59,283.38,25.69,216.52
44940,38792,42514,0,313.56,283.89,25.65,216.64
44940,38391,42514,0,313.02,284.38,25.75,216.75
44940,38391,43020,0,313.26,284.77,25.87,216.87
44940,38391,43020,0,314.11,285.03,25.86,216.89
44366,38391,43020,0,314.53,285.78,25.82,217.01
44366,38534,43020,0,315.46,285.78,25.90,217.12
44366,38534,42728,0,315.34,286.21,25.85,217.24
44366,38534,42728,0,315.19,286.20,25.86,217.26
45051,38534,42728,0,314.59,286.10,25.92,217.38
45051,38486,42728,0,314.91,286.62,26.02,217.49
45051,38486,43122,0,315.41,286.92,25.97,217.61
45051,38486,43122,0,315.68,287.04,25.97,217.63
44880,38486,43122,0,315.65,286.71,25.92,217.75
44880,38563,43122,0,315.41,286.74,25.86,217.86
44880,38563,42986,0,315.04,286.31,26.00,217.98
44880,38563,42986,0,315.16,286.10,26.02,218.00
44663,38563,42986,0,314.79,285.87,26.09,218.12
44663,38398,42986,0,315.08,286.12,26.11,218.23
44663,38398,42913,0,315.85,286.23,26.17,218.35
44663,38398,42913,0,316.70,286.47,26.17,218.37
44500,38398,42913,0,316.53,286.40,26.24,218.49
44500,38252,42913,0,315.98,286.23,26.33,218.60
44500,38252,42799,0,316.15,286.35,26.45,218.72
44500,38252,42799,0,316.13,286.19,26.47,218.74
45069,38252,42799,0,316.02,286.32,26.54,218.86
45069,38442,42799,0,316.07,286.28,26.64,218.97
45069,38442,42893,0,316.03,286.21,26.78,219.09
45069,38442,42893,0,316.15,286.16,26.81,219.11
44557,38442,42893,0,316.21,286.21,26.81,219.23
44557,38291,42893,0,315.75,285.79,26.93,219.34
44557,38291,43083,0,316.06,286.02,26.92,219.46
44557,38291,43083,0,316.54,286.23,26.91,219.48
44678,38291,43083,0,316.63,286.31,27.04,219.60
44678,38347,43083,0,316.77,285.85,27.19,219.71
44678,38347,42813,0,316.66,286.20,27.03,219.83
44678,38347,42813,0,316.89,286.52,27.02,219.85
44139,38347,42813,0,316.40,285.74,27.08,219.97
44139,38212,42813,0,316.32,285.64,27.17,220.08
44139,38212,43154,0,315.63,285.59,27.12,220.20
44139,38212,43154,0,315.16,285.67,27.14,220.22
44635,38212,43154,0,315.15,285.41,27.21,220.34
44635,38159,43154,0,315.96,284.06,27.18,220.45
44635,38159,42857,0,314.09,283.87,27.05,220.57
44635,38159,42857,0,312.71,283.83,27.06,220.59
44313,38159,42857,0,310.90,284.03,26.93,220.71
44313,38063,42857,0,310.33,284.16,26.99,220.82
44313,38063,42980,0,309.39,284.36,26.96,220.93
44313,38063,42980,0,309.88,284.64,26.96,220.96
44468,38063,42980,0,310.08,284.80,26.96,221.08
44468,38143,42980,0,310.51,285.31,26.89,221.19
44468,38143,42841,0,310.76,285.53,26.93,221.30
44468,38143,42841,0,311.05,285.40,26.95,221.33
44239,38143,42841,0,310.84,285.20,27.10,221.45
44239,38034,42841,0,310.36,284.94,27.14,221.56
44239,38034,43023,0,311.60,285.09,27.32,221.67
44239,38034,43023,0,312.05,285.05,27.34,221.70
45055,38034,43023,0,312.33,285.01,27.50,221.82
45055,38062,43023,0,313.07,285.16,27.48,221.93
45055,38062,42939,0,313.23,284.91,27.54,222.04
45055,38062,42939,0,313.00,284.83,27.57,222.07
44273,38062,42939,0,313.87,285.00,27.63,222.19
44273,38049,42939,0,314.19,284.88,27.75,222.29
44273,38049,43110,0,314.08,285.13,27.83,222.41
44273,38049,43110,0,314.39,285.37,27.84,222.44
44960,38049,43110,0,314.47,285.52,27.84,222.56
44960,38009,43110,0,314.70,285.90,27.97,222.66
44960,38009,42937,0,314.87,285.74,28.09,222.78
44960,38009,42937,0,315.55,285.86,28.11,222.81
44286,38009,42937,0,315.27,285.83,28.19,222.93
44286,37997,42937,0,315.75,285.68,28.26,223.03
44286,37997,43081,0,315.80,285.92,28.26,223.15
44286,37997,43081,0,315.91,286.05,28.24,223.18
45052,37997,43081,0,315.34,285.79,28.10,223.30
45052,38111,43081,0,316.10,285.76,28.24,223.40
45052,38111,42859,0,315.98,285.62,28.18,223.52
45052,38111,42859,0,315.81,285.75,28.16,223.55
44275,38111,42859,0,315.33,285.65,28.31,223.67
44275,38037,42859,0,314.89,285.65,28.35,223.77
44275,38037,42956,0,315.37,285.79,28.39,223.89
44275,38037,42956,0,315.30,285.70,28.40,223.91
44561,38037,42956,0,315.25,285.97,28.49,224.03
44561,38109,42956,0,315.74,285.99,28.37,224.14
44561,38109,42852,0,315.90,285.96,28.49,224.26
44561,38109,42852,0,315.79,285.88,28.49,224.28
44839,38109,42852,0,315.73,285.91,28.63,224.40
44839,38139,42852,0,315.75,285.91,28.74,224.51
44839,38139,42988,0,316.08,286.02,28.76,224.63
44839,38139,42988,0,315.99,286.06,28.74,224.65
44994,38139,42988,0,315.56,285.94,28.88,224.77
44994,38187,42988,0,315.12,286.03,28.88,224.88
44994,38187,42814,0,314.88,285.88,28.83,225.00
44994,38187,42814,0,315.21,286.12,28.82,225.02
44256,38187,42814,0,314.99,286.45,28.71,225.14
44256,38032,42814,0,316.37,286.13,28.80,225.25
44256,38032,43088,0,313.39,284.02,29.33,225.37
44256,38032,43088,0,311.70,283.69,29.48,225.39
45011,38032,43088,0,308.39,283.17,30.46,225.51
45011,37552,43088,0,310.04,283.91,31.58,225.62
45011,37552,42824,0,309.92,283.69,32.54,225.73
45011,37552,42824,0,310.40,283.40,32.78,225.76
44148,37552,42824,0,313.01,283.71,33.62,225.88
44148,36811,42824,0,317.99,284.42,33.71,225.98
44148,36811,42564,0,321.05,284.02,33.34,226.10
44148,36811,42564,0,321.10,283.94,33.24,226.13
44834,36811,42564,0,322.02,283.84,33.15,226.25
44834,37548,42564,0,321.22,283.59,33.26,226.35
44834,37548,43070,0,321.73,283.55,33.38,226.47
44834,37548,43070,0,321.05,283.56,33.39,226.50
44485,37548,43070,0,321.24,283.72,33.43,226.61
44485,37459,43070,0,321.43,284.29,33.41,226.72
44485,37459,42523,0,321.83,285.30,33.33,226.84
44485,37459,42523,0,322.57,285.57,33.33,226.86
44184,37459,42523,0,322.40,284.81,32.97,226.98
44184,36971,42523,0,321.44,284.25,32.92,227.09
44184,36971,42862,0,319.86,283.47,32.78,227.20
44184,36971,42862,0,319.07,283.59,32.77,227.23
45136,36971,42862,0,318.39,283.10,32.65,227.35
45136,37325,42862,0,317.32,282.36,32.56,227.45
45136,37325,42808,0,315.27,282.60,32.71,227.57
45136,37325,42808,0,313.92,282.88,32.72,227.60
44293,37325,42808,0,315.15,282.03,33.72,227.72
44293,37666,42808,0,311.78,280.18,34.69,227.82
44293,37666,42258,0,308.77,279.05,35.79,227.94
44293,37666,42258,0,305.20,277.99,36.08,227.96
44144,37666,42258,0,301.71,276.83,35.36,228.08
44144,38181,42258,0,304.15,276.98,35.15,228.19
44144,38181,42525,0,303.66,276.54,35.34,228.30
44144,38181,42525,0,304.39,276.70,35.41,228.33
44530,38181,42525,0,301.04,277.05,35.36,228.45
44530,38307,42525,0,299.11,276.07,35.56,228.56
44530,38307,42273,0,295.77,274.74,35.86,228.67
44530,38307,42273,0,294.04,274.38,35.89,228.70
44267,38307,42273,0,289.93,274.68,36.31,228.82
44267,38584,42273,0,287.43,275.51,35.98,228.93
44267,38584,42594,0,282.73,275.28,35.49,229.04
44267,38584,42594,0,281.72,274.83,35.29,229.07
44272,38584,42594,0,286.02,278.11,34.21,229.19
44272,38562,42594,0,288.47,279.21,33.57,229.29
44272,38562,42489,0,291.21,280.16,32.53,229.41
44272,38562,42489,0,293.96,280.20,32.39,229.44
44155,38562,42489,0,297.59,281.33,31.78,229.56
44155,38885,42489,0,300.07,282.28,31.19,229.66
44155,38885,42699,0,302.29,282.96,30.24,229.78
44155,38885,42699,0,302.55,282.40,30.05,229.81
44552,38885,42699,0,304.79,282.98,29.67,229.93
44552,39282,42699,0,307.03,283.35,29.00,230.03
44552,39282,42336,0,311.02,286.26,27.92,230.15
44552,39282,42336,0,311.81,286.51,27.62,230.18
44318,39282,42336,0,313.45,287.29,26.19,230.30
44318,39662,42336,0,315.18,288.98,24.58,230.40
44318,39662,42500,0,315.87,291.81,22.84,230.52
44318,39662,42500,0,314.70,291.92,22.48,230.55
44365,39662,42500,0,313.56,294.64,21.30,230.67
44365,39318,42500,0,310.53,293.29,20.91,230.78
44365,39318,42048,0,310.12,293.35,20.55,230.89
44365,39318,42048,0,309.89,293.38,20.41,230.92
43469,39318,42048,0,309.82,294.07,20.16,231.03
43469,39133,42048,0,309.48,294.95,20.06,231.14
43469,39133,42015,0,309.99,296.19,19.97,231.26
43469,39133,42015,0,310.87,297.20,19.97,231.28
43749,39133,42015,0,309.94,298.45,20.27,231.40
43749,39439,42015,0,310.98,300.42,20.05,231.51
43749,39439,41717,0,310.99,300.55,19.72,231.62
43749,39439,41717,0,311.09,300.63,19.63,231.65
42798,39439,41717,0,311.42,302.52,19.07,231.77
42798,39606,41717,0,312.51,306.02,17.97,231.88
42798,39606,42063,0,313.43,307.00,17.06,231.99
42798,39606,42063,0,313.39,306.69,16.82,232.02
42842,39606,42063,0,313.13,308.46,15.70,232.13
42842,39847,42063,0,313.44,309.82,14.94,232.24
42842,39847,41998,0,313.20,312.24,14.29,232.36
42842,39847,41998,0,313.38,311.99,14.15,232.39
42603,39847,41998,0,314.82,313.28,13.77,232.50
42603,40581,41998,0,315.48,313.27,13.54,232.61
42603,40581,40998,0,316.18,313.43,13.56,232.73
42603,40581,40998,0,316.12,313.83,13.58,232.75
41622,40581,40998,0,317.02,313.61,13.68,232.87
41622,40682,40998,0,318.03,313.83,13.61,232.98
41622,40682,41206,0,317.95,313.81,13.69,233.09
41622,40682,41206,0,317.43,314.15,13.74,233.12
42047,40682,41206,0,318.30,313.22,14.01,233.23
42047,40071,41206,0,318.52,312.50,14.45,233.34
42047,40071,41085,0,318.96,311.94,14.72,233.45
42047,40071,41085,0,318.82,312.28,14.80,233.48
42553,40071,41085,0,320.13,310.44,15.00,233.60
