"A","B","C","G","","","","","",""
"28814","55461","27466","1","323.99","290.46","144.55","106.56","",""
"28814","55461","27466","1","322.35","290.34","144.61","106.58","",""
"28861","55461","27466","1","319.53","289.34","144.09","106.67","",""
"28861","55571","27466","1","316.49","287.52","143.98","106.81","",""
"28861","55571","27426","1","314.16","287.64","144.02","106.90","",""
"28861","55571","27426","1","313.34","287.85","144.17","106.92","",""
"28813","55571","27426","1","309.99","286.23","143.20","107.01","",""
"28813","55497","27426","1","310.35","287.37","143.77","107.15","",""
"28813","55497","27374","1","310.41","286.85","143.37","107.24","",""
"28813","55497","27374","1","309.64","286.68","143.28","107.26","",""
"28968","55497","27374","1","309.85","287.39","142.72","107.35","",""
"28968","49817","27374","1","307.81","286.80","141.09","107.48","",""
"28968","49817","27294","1","307.94","287.14","140.96","107.56","",""
"28968","49817","27294","1","307.89","287.29","140.89","107.59","",""
"28848","49817","27294","1","306.86","287.26","140.34","107.68","",""
"28848","48812","27294","1","306.56","288.35","139.80","107.81","",""
"28848","48812","27359","1","306.17","288.35","139.22","107.89","",""
"28848","48812","27359","1","306.99","288.87","139.03","107.92","",""
"28842","48812","27359","1","306.93","289.35","137.91","108.00","",""
"28842","48633","27359","1","304.55","291.40","135.60","108.13","",""
"28842","48633","27295","1","301.93","291.98","134.07","108.22","",""
"28842","48633","27295","1","300.72","291.79","133.70","108.24","",""
"28816","48633","27295","1","298.16","292.25","134.04","108.33","",""
"28816","48053","27295","1","296.34","292.73","135.81","108.46","",""
"28816","48053","27432","1","297.79","292.23","136.60","108.54","",""
"28816","48053","27432","1","298.66","291.65","136.79","108.57","",""
"28811","48053","27432","1","297.06","290.86","136.85","108.65","",""
"28811","48817","27432","1","296.43","290.15","137.48","108.78","",""
"28811","48817","27242","1","295.78","290.44","138.65","108.86","",""
"28811","48817","27242","1","296.57","290.51","139.09","108.89","",""
"28889","48817","27242","1","295.78","290.65","141.40","108.98","",""
"28889","47874","27242","1","293.52","289.42","146.32","109.10","",""
"28889","47874","27291","1","299.99","290.48","149.95","109.19","",""
"28889","47874","27291","1","307.49","290.96","150.85","109.21","",""
"28916","47874","27291","1","309.02","290.38","152.45","109.30","",""
"28916","48634","27291","1","314.51","290.46","154.35","109.43","",""
"28916","48634","27197","1","317.61","290.32","154.72","109.51","",""
"28916","48634","27197","1","318.94","290.01","154.87","109.54","",""
"28881","48634","27197","1","322.22","290.07","155.21","109.63","",""
"28881","48081","27197","1","326.42","290.03","156.36","109.75","",""
"28881","48081","27150","1","329.45","290.00","156.98","109.84","",""
"28881","48081","27150","1","329.85","289.78","157.19","109.86","",""
"28858","48081","27150","1","331.43","290.33","157.90","109.95","",""
"28858","49096","27150","1","335.66","290.27","158.73","110.08","",""
"28858","49096","26918","1","337.36","289.90","159.37","110.16","",""
"28858","49096","26918","1","337.35","289.59","159.55","110.19","",""
"29043","49096","26918","1","339.13","289.52","159.54","110.28","",""
"29043","51218","26918","1","343.69","289.38","160.07","110.41","",""
"29043","51218","27210","1","345.28","289.19","160.25","110.49","",""
"29043","51218","27210","1","344.85","289.46","160.20","110.52","",""
"29135","51218","27210","1","344.27","289.62","160.30","110.61","",""
"29135","49357","27210","1","343.35","289.37","160.62","110.74","",""
"29135","49357","27010","1","342.72","289.26","160.86","110.82","",""
"29135","49357","27010","1","341.37","289.36","160.93","110.85","",""
"29155","49357","27010","1","341.01","289.96","161.47","110.93","",""
"29155","48849","27010","1","341.49","290.61","161.85","111.06","",""
"29155","48849","27242","1","340.64","290.99","162.46","111.15","",""
"29155","48849","27242","1","340.80","291.00","162.61","111.17","",""
"28961","48849","27242","1","341.98","291.61","162.63","111.26","",""
"28961","49494","27242","1","341.42","291.03","162.67","111.39","",""
"28961","49494","27040","1","341.03","291.01","162.98","111.47","",""
"28961","49494","27040","1","340.71","291.16","163.06","111.50","",""
"29023","49494","27040","1","341.62","291.52","163.42","111.59","",""
"29023","49191","27040","1","341.59","291.70","163.50","111.71","",""
"29023","49191","26989","1","340.62","291.78","163.74","111.80","",""
"29023","49191","26989","1","340.22","291.67","163.82","111.82","",""
"29150","49191","26989","1","340.05","291.57","163.78","111.91","",""
"29150","51395","26989","1","339.80","291.97","164.29","112.05","",""
"29150","51395","27219","1","339.64","291.85","164.35","112.13","",""
"29150","51395","27219","1","339.14","291.40","164.36","112.16","",""
"29073","51395","27219","1","338.43","292.00","164.61","112.24","",""
"29073","50973","27219","1","337.53","292.25","165.71","112.38","",""
"29073","50973","26903","1","336.03","292.59","166.13","112.46","",""
"29073","50973","26903","1","336.09","292.75","166.36","112.49","",""
"29003","50973","26903","1","337.64","293.32","167.35","112.57","",""
"29003","48098","26903","1","338.60","294.14","167.73","112.70","",""
"29003","48098","27017","1","340.00","294.77","168.09","112.78","",""
"29003","48098","27017","1","341.72","294.92","168.17","112.81","",""
"28924","48098","27017","1","344.04","294.08","168.23","112.90","",""
"28924","48805","27017","1","346.45","294.05","167.69","113.02","",""
"28924","48805","27317","1","347.32","293.24","167.43","113.11","",""
"28924","48805","27317","1","346.63","293.07","167.33","113.13","",""
"28988","48805","27317","1","345.17","291.77","167.43","113.22","",""
"28988","51799","27317","1","346.74","292.52","167.49","113.36","",""
"28988","51799","27643","1","346.79","292.36","166.99","113.44","",""
"28988","51799","27643","1","345.77","292.07","166.90","113.47","",""
"29647","51799","27643","1","343.95","294.06","166.86","113.56","",""
"29647","50701","27643","1","342.43","294.40","168.42","113.69","",""
"29647","50701","27125","1","345.25","293.83","169.44","113.77","",""
"29647","50701","27125","1","344.06","293.62","169.64","113.80","",""
"28975","50701","27125","1","342.43","295.73","170.16","113.89","",""
"28975","54058","27125","1","343.23","298.77","170.38","114.02","",""
"28975","54058","27034","1","347.25","300.60","170.02","114.11","",""
"28975","54058","27034","1","347.44","301.07","169.83","114.13","",""
"29432","54058","27034","1","347.99","301.40","169.66","114.22","",""
"29432","54802","27034","1","349.25","301.30","169.44","114.36","",""
"29432","54802","27432","1","350.89","301.45","169.18","114.45","",""
"29432","54802","27432","1","350.56","301.41","169.08","114.47","",""
"29635","54802","27432","1","349.99","300.03","169.41","114.56","",""
"29635","54735","27432","1","350.28","300.51","169.70","114.70","",""
"29635","54735","27433","1","349.57","300.48","170.11","114.79","",""
"29635","54735","27433","1","349.28","300.62","170.25","114.81","",""
"29629","54735","27433","1","349.61","300.40","170.80","114.90","",""
"29629","54744","27433","1","262.31","298.29","171.42","115.04","",""
"29629","54744","27284","1","279.79","301.59","171.92","115.13","",""
"29629","54744","27284","1","294.91","303.05","171.88","115.15","",""
"29805","54744","27284","1","306.02","303.42","172.58","115.24","",""
"29805","54723","27284","1","314.43","305.60","172.69","115.38","",""
"29805","54723","27283","1","322.21","305.41","172.68","115.46","",""
"29805","54723","27283","1","328.04","305.30","172.73","115.49","",""
"29883","54723","27283","1","333.42","303.64","172.79","115.58","",""
"29883","54683","27283","1","339.03","304.47","173.28","115.72","",""
"29883","54683","27284","1","343.43","304.66","173.41","115.80","",""
"29883","54683","27284","1","345.71","304.57","173.44","115.83","",""
"29837","54683","27284","1","348.10","304.05","173.68","115.92","",""
"29837","54688","27284","1","351.70","304.03","173.91","116.06","",""
"29837","54688","27306","1","352.79","303.88","174.10","116.14","",""
"29837","54688","27306","1","353.31","303.63","174.13","116.17","",""
"29834","54688","27306","1","354.38","303.74","174.27","116.26","",""
"29834","54651","27306","1","355.14","302.50","174.35","116.40","",""
"29834","54651","27295","1","353.96","303.84","174.36","116.48","",""
"29834","54651","27295","1","354.11","303.88","174.37","116.51","",""
"29870","54651","27295","1","353.82","304.07","174.36","116.60","",""
"29870","54662","27295","1","354.38","303.01","174.23","116.74","",""
"29870","54662","27276","1","352.98","303.24","174.13","116.82","",""
"29870","54662","27276","1","352.24","303.75","174.09","116.85","",""
"29903","54662","27276","1","351.01","302.29","173.89","116.94","",""
"29903","60243","27276","1","349.28","301.09","173.14","117.09","",""
"29903","60243","26964","1","347.76","301.21","172.95","117.17","",""
"29903","60243","26964","1","347.27","301.17","172.87","117.20","",""
"29958","60243","26964","1","346.97","301.39","172.75","117.29","",""
"29958","59619","26964","1","343.66","300.68","172.54","117.44","",""
"29958","59619","27042","1","340.43","300.93","171.72","117.52","",""
"29958","59619","27042","1","338.64","300.77","171.68","117.55","",""
"30100","59619","27042","1","338.94","302.15","171.56","117.64","",""
"30100","59753","27042","1","339.39","303.29","171.61","117.79","",""
"30100","59753","26987","1","340.71","302.95","171.94","117.87","",""
"30100","59753","26987","1","341.33","303.17","172.06","117.90","",""
"29912","59753","26987","1","342.18","301.39","172.49","117.99","",""
"29912","59655","26987","1","344.17","297.74","172.61","118.14","",""
"29912","59655","27363","1","341.98","296.25","172.59","118.22","",""
"29912","59655","27363","1","341.33","296.53","172.80","118.25","",""
"29794","59655","27363","1","341.87","294.04","173.31","118.34","",""
"29794","59711","27363","1","341.28","291.98","174.69","118.49","",""
"29794","59711","27524","1","344.11","291.29","175.17","118.57","",""
"29794","59711","27524","1","344.02","291.50","175.19","118.60","",""
"30110","59711","27524","1","344.81","291.57","175.04","118.69","",""
"30110","59387","27524","1","345.75","292.44","174.75","118.84","",""
"30110","59387","28134","1","345.63","292.83","174.16","118.92","",""
"30110","59387","28134","1","343.59","293.50","173.99","118.95","",""
"30030","59387","28134","1","343.45","293.97","173.96","119.04","",""
"30030","58692","28134","1","341.79","293.91","173.64","119.19","",""
"30030","58692","28234","1","339.06","292.57","173.80","119.27","",""
"30030","58692","28234","1","338.79","291.94","173.90","119.30","",""
"29865","58692","28234","1","337.39","291.19","173.59","119.39","",""
"29865","58909","28234","1","337.12","291.61","173.52","119.54","",""
"29865","58909","28527","1","337.17","291.30","174.12","119.62","",""
"29865","58909","28527","1","339.29","291.18","174.24","119.65","",""
"29880","58909","28527","1","335.02","289.79","174.11","119.74","",""
"29880","61684","28527","1","333.38","288.13","174.33","119.89","",""
"29880","61684","28580","1","333.07","287.62","174.63","119.98","",""
"29880","61684","28580","1","333.11","287.21","174.73","120.01","",""
"29564","61684","28580","1","331.51","287.34","174.62","120.10","",""
"29564","59243","28580","1","332.79","287.54","174.38","120.25","",""
"29564","59243","28612","1","329.84","287.53","174.20","120.33","",""
"29564","59243","28612","1","328.42","287.64","174.28","120.36","",""
"29884","59243","28612","1","330.62","287.88","174.59","120.45","",""
"29884","58945","28612","1","327.54","287.09","174.19","120.60","",""
"29884","58945","28756","1","325.72","287.32","174.33","120.68","",""
"29884","58945","28756","1","325.73","287.78","174.45","120.71","",""
"30324","58945","28756","1","322.72","288.27","174.59","120.80","",""
"30324","61561","28756","1","324.83","286.99","175.01","120.95","",""
"30324","61561","28962","1","325.67","288.13","174.87","121.04","",""
"30324","61561","28962","1","327.45","288.07","174.87","121.07","",""
"29710","61561","28962","1","327.05","287.75","175.13","121.16","",""
"29710","58683","28962","1","327.83","287.28","174.99","121.30","",""
"29710","58683","28872","1","327.67","286.45","175.36","121.39","",""
"29710","58683","28872","1","327.70","286.08","175.42","121.42","",""
"29891","58683","28872","1","328.10","285.79","175.04","121.51","",""
"29891","61741","28872","1","329.12","285.02","174.89","121.66","",""
"29891","61741","29128","1","327.23","284.48","175.03","121.75","",""
"29891","61741","29128","1","326.49","284.39","175.02","121.78","",""
"29994","61741","29128","1","325.43","284.39","175.40","121.87","",""
"29994","58959","29128","1","323.00","284.40","175.76","122.01","",""
"29994","58959","28900","1","321.76","284.57","175.87","122.10","",""
"29994","58959","28900","1","321.71","284.50","175.91","122.13","",""
"30120","58959","28900","1","321.28","284.72","175.94","122.22","",""
"30120","61598","28900","1","322.25","285.13","176.18","122.37","",""
"30120","61598","29095","1","321.82","285.05","176.12","122.46","",""
"30120","61598","29095","1","321.59","285.15","176.09","122.49","",""
"29616","61598","29095","1","320.81","284.89","176.25","122.57","",""
"29616","58603","29095","1","319.21","285.12","176.27","122.72","",""
"29616","58603","28878","1","319.07","285.02","176.51","122.81","",""
"29616","58603","28878","1","319.64","284.80","176.57","122.84","",""
"29917","58603","28878","1","320.16","285.38","176.75","122.93","",""
"29917","61715","28878","1","323.03","285.04","177.00","123.08","",""
"29917","61715","29095","1","321.61","285.68","177.04","123.17","",""
"29917","61715","29095","1","321.11","286.05","177.16","123.19","",""
"29997","61715","29095","1","323.25","285.55","177.82","123.28","",""
"29997","58992","29095","1","321.97","285.08","177.16","123.43","",""
"29997","58992","28685","1","322.84","285.12","177.54","123.52","",""
"29997","58992","28685","1","322.90","284.96","177.66","123.55","",""
"30166","58992","28685","1","325.65","284.64","178.13","123.64","",""
"30166","61751","28685","1","328.80","285.31","179.81","123.79","",""
"30166","61751","28494","1","328.81","285.90","180.06","123.88","",""
"30166","61751","28494","1","328.15","285.98","180.19","123.90","",""
"29576","61751","28494","1","327.10","286.96","180.07","123.99","",""
"29576","59257","28494","1","329.68","288.74","180.50","124.14","",""
"29576","59257","28129","1","329.16","288.37","180.75","124.23","",""
"29576","59257","28129","1","329.75","288.15","180.82","124.25","",""
"29874","59257","28129","1","331.98","288.08","180.36","124.34","",""
"29874","58982","28129","1","333.32","289.30","181.82","124.49","",""
"29874","58982","28159","1","331.09","289.27","182.03","124.58","",""
"29874","58982","28159","1","330.82","289.41","182.20","124.60","",""
"29583","58982","28159","1","329.73","289.88","182.75","124.69","",""
"29583","58638","28159","1","328.87","289.78","183.89","124.84","",""
"29583","58638","27896","1","328.96","289.42","184.58","124.92","",""
"29583","58638","27896","1","329.42","288.79","184.76","124.95","",""
"29427","58638","27896","1","330.97","289.70","186.14","125.04","",""
"29427","59187","27896","1","333.70","291.68","186.88","125.19","",""
"29427","59187","27615","1","337.83","292.77","187.59","125.27","",""
"29427","59187","27615","1","341.48","292.96","187.75","125.30","",""
"29507","59187","27615","1","340.17","293.23","187.99","125.39","",""
"29507","59256","27615","1","340.11","294.93","187.09","125.54","",""
"29507","59256","27604","1","343.36","294.69","187.54","125.62","",""
"29507","59256","27604","1","344.55","294.61","187.62","125.65","",""
"29715","59256","27604","1","345.10","293.90","188.36","125.74","",""
"29715","56009","27604","1","348.44","294.02","189.58","125.88","",""
"29715","56009","27574","1","350.53","294.79","189.97","125.96","",""
"29715","56009","27574","1","350.94","295.53","190.08","125.99","",""
"30165","56009","27574","1","353.26","294.83","190.85","126.08","",""
"30165","53094","27574","1","355.81","294.03","191.99","126.22","",""
"30165","53094","27250","1","357.81","294.43","192.26","126.30","",""
"30165","53094","27250","1","358.31","294.94","192.30","126.33","",""
"29571","53094","27250","1","359.44","294.44","192.35","126.42","",""
"29571","51146","27250","1","359.44","294.44","192.75","126.55","",""
"29571","51146","27375","1","359.44","294.44","193.07","126.63","",""
"29571","51146","27375","1","359.53","294.46","193.12","126.66","",""
"29724","51146","27375","1","359.84","294.25","193.23","126.75","",""
"29724","53690","27375","1","360.01","293.72","193.50","126.88","",""
"29724","53690","27314","1","359.37","293.59","193.61","126.97","",""
"29724","53690","27314","1","358.24","293.93","193.69","127.00","",""
"29807","53690","27314","1","358.85","293.84","193.70","127.08","",""
"29807","54679","27314","1","358.04","293.86","193.84","127.22","",""
"29807","54679","27312","1","357.20","294.05","194.07","127.31","",""
"29807","54679","27312","1","356.53","294.16","194.14","127.33","",""
"29792","54679","27312","1","356.39","294.20","194.32","127.42","",""
"29792","54678","27312","1","355.18","294.27","194.31","127.56","",""
"29792","54678","27325","1","353.97","294.98","194.32","127.65","",""
"29792","54678","27325","1","353.02","295.06","194.35","127.67","",""
"29777","54678","27325","1","353.26","295.34","194.57","127.76","",""
"29777","54122","27325","1","353.54","295.56","194.85","127.90","",""
"29777","54122","27391","1","353.23","295.39","194.89","127.99","",""
"29777","54122","27391","1","353.26","295.46","194.90","128.01","",""
"29728","54122","27391","1","353.46","295.52","194.95","128.10","",""
"29728","55217","27391","1","353.01","295.11","195.03","128.24","",""
"29728","55217","27318","1","353.34","295.12","195.12","128.33","",""
"29728","55217","27318","1","353.24","294.85","195.14","128.35","",""
"29777","55217","27318","1","353.21","294.92","195.32","128.44","",""
"29777","55098","27318","1","353.21","294.71","195.52","128.58","",""
"29777","55098","27350","1","353.56","294.97","195.70","128.67","",""
"29777","55098","27350","1","353.57","295.19","195.73","128.69","",""
"29777","55098","27350","1","354.20","295.50","195.86","128.78","",""
"29777","54168","27350","1","353.97","295.60","196.04","128.92","",""
"29777","54168","27378","1","353.53","295.95","196.11","129.01","",""
"29777","54168","27378","1","353.09","296.12","196.13","129.03","",""
"29734","54168","27378","1","353.19","296.02","196.26","129.12","",""
"29734","54656","27378","1","352.37","296.07","196.24","129.26","",""
"29734","54656","27361","1","351.34","295.70","196.39","129.35","",""
"29734","54656","27361","1","351.13","295.45","196.46","129.37","",""
"29754","54656","27361","1","351.55","295.84","196.60","129.46","",""
"29754","54121","27361","1","352.86","295.57","196.98","129.60","",""
"29754","54121","27350","1","353.21","295.87","197.19","129.68","",""
"29754","54121","27350","1","354.00","295.91","197.24","129.71","",""
"29807","54121","27350","1","354.86","296.37","197.39","129.80","",""
"29807","55192","27350","1","355.63","296.71","196.71","129.94","",""
"29807","55192","27309","1","355.39","296.48","196.34","130.02","",""
"29807","55192","27309","1","354.42","296.37","196.23","130.05","",""
"29812","55192","27309","1","354.40","296.66","195.98","130.14","",""
"29812","54653","27309","1","353.76","296.15","195.35","130.28","",""
"29812","54653","27281","1","354.18","296.32","194.78","130.36","",""
"29812","54653","27281","1","353.77","296.48","194.58","130.39","",""
"29833","54653","27281","1","353.61","296.09","193.52","130.48","",""
"29833","54644","27281","1","352.48","295.73","192.22","130.62","",""
"29833","54644","27260","1","350.74","295.46","191.36","130.70","",""
"29833","54644","27260","1","349.69","295.59","191.08","130.73","",""
"29880","54644","27260","1","347.71","295.33","190.16","130.82","",""
"29880","54666","27260","1","344.40","294.69","189.12","130.96","",""
"29880","54666","27291","1","341.88","294.75","188.47","131.04","",""
"29880","54666","27291","1","341.24","295.36","188.28","131.07","",""
"29850","54666","27291","1","340.49","295.41","187.34","131.16","",""
"29850","55075","27291","1","337.84","295.59","185.74","131.30","",""
"29850","55075","27321","1","337.60","296.22","184.97","131.38","",""
"29850","55075","27321","1","336.55","296.28","184.64","131.41","",""
"29849","55075","27321","1","334.59","296.16","183.70","131.50","",""
"29849","55829","27321","1","330.98","295.44","182.33","131.64","",""
"29849","55829","27365","1","329.24","295.33","181.48","131.73","",""
"29849","55829","27365","1","328.13","295.47","181.21","131.75","",""
"29658","55829","27365","1","325.35","295.26","180.44","131.84","",""
"29658","53996","27365","1","320.03","294.84","180.00","131.98","",""
"29658","53996","27354","1","317.12","294.89","180.37","132.06","",""
"29658","53996","27354","1","316.77","294.85","180.54","132.09","",""
"29854","53996","27354","1","316.14","295.93","181.40","132.18","",""
"29854","54127","27354","1","313.56","296.58","182.93","132.32","",""
"29854","54127","27496","1","314.05","296.79","184.07","132.40","",""
"29854","54127","27496","1","315.51","296.78","184.43","132.43","",""
"29713","54127","27496","1","315.73","297.00","185.21","132.52","",""
"29713","55803","27496","1","313.11","297.41","187.44","132.66","",""
"29713","55803","28025","1","316.30","296.59","189.86","132.74","",""
"29713","55803","28025","1","319.33","296.00","190.55","132.77","",""
"30491","55803","28025","1","323.29","296.69","192.07","132.86","",""
"30491","60860","28025","1","329.59","295.78","193.00","133.01","",""
"30491","60860","27861","1","334.59","296.16","193.52","133.10","",""
"30491","60860","27861","1","336.51","295.91","193.68","133.13","",""
"29871","60860","27861","1","339.75","295.96","194.05","133.22","",""
"29871","59647","27861","1","341.32","294.82","194.06","133.37","",""
"29871","59647","27676","1","341.76","294.57","194.02","133.45","",""
"29871","59647","27676","1","339.91","294.15","194.04","133.48","",""
"30086","59647","27676","1","339.37","295.10","194.15","133.57","",""
"30086","59249","27676","1","340.72","295.25","195.14","133.72","",""
"30086","59249","28096","1","341.23","295.11","195.74","133.80","",""
"30086","59249","28096","1","341.35","294.93","195.91","133.83","",""
"30190","59249","28096","1","340.68","295.44","196.30","133.92","",""
"30190","58568","28096","1","343.26","296.17","197.09","134.07","",""
"30190","58568","28152","1","340.89","295.70","197.56","134.15","",""
"30190","58568","28152","1","340.05","295.76","197.98","134.18","",""
"30488","58568","28152","1","343.50","296.41","198.62","134.27","",""
"30488","59142","28152","1","344.73","295.47","195.93","134.42","",""
"30488","59142","28568","1","343.44","296.22","195.39","134.50","",""
"30488","59142","28568","1","341.45","296.14","195.32","134.53","",""
"30938","59142","28568","1","339.58","296.42","195.70","134.62","",""
"30938","60381","28568","1","335.34","295.63","196.48","134.77","",""
"30938","60381","28664","1","332.79","297.86","196.78","134.86","",""
"30938","60381","28664","1","333.25","298.21","197.06","134.89","",""
"30484","60381","28664","1","333.52","298.12","197.98","134.98","",""
"30484","61845","28664","1","335.52","299.92","199.08","135.13","",""
"30484","61845","28722","1","336.82","300.95","199.75","135.22","",""
"30484","61845","28722","1","338.34","300.39","199.85","135.24","",""
"30513","61845","28722","1","339.10","300.26","200.33","135.34","",""
"30513","58670","28722","1","342.25","300.64","202.66","135.48","",""
"30513","58670","28514","1","345.03","300.89","203.15","135.57","",""
"30513","58670","28514","1","345.94","300.34","203.29","135.60","",""
"31095","58670","28514","1","347.86","299.86","203.63","135.69","",""
"31095","61517","28514","1","351.94","298.72","204.30","135.84","",""
"31095","61517","28438","1","350.57","297.09","204.45","135.93","",""
"31095","61517","28438","1","349.12","297.07","204.51","135.95","",""
"30836","61517","28438","1","348.56","296.90","205.49","136.05","",""
"30836","59008","28438","1","350.84","296.17","204.91","136.19","",""
"30836","59008","28339","1","350.96","296.05","204.94","136.28","",""
"30836","59008","28339","1","350.23","296.35","204.97","136.31","",""
"30773","59008","28339","1","350.48","296.40","204.88","136.40","",""
"30773","60759","28339","1","349.23","295.45","204.64","136.55","",""
"30773","60759","28232","1","349.95","295.85","204.51","136.64","",""
"30773","60759","28232","1","348.56","295.94","204.44","136.66","",""
"30278","60759","28232","1","349.54","296.27","204.26","136.75","",""
"30278","58814","28232","1","348.32","295.96","203.45","136.90","",""
"30278","58814","28166","1","347.82","296.38","202.39","136.99","",""
"30278","58814","28166","1","346.38","296.76","202.08","137.01","",""
"30688","58814","28166","1","343.86","296.70","201.21","137.10","",""
"30688","61690","28166","1","343.19","296.92","200.89","137.26","",""
"30688","61690","28512","1","342.19","296.98","200.53","137.34","",""
"30688","61690","28512","1","340.88","297.23","200.35","137.37","",""
"30681","61690","28512","1","338.01","296.18","200.57","137.46","",""
"30681","58907","28512","1","336.09","295.96","201.06","137.61","",""
"30681","58907","28653","1","335.92","296.38","201.26","137.70","",""
"30681","58907","28653","1","335.95","296.43","201.30","137.72","",""
"30695","58907","28653","1","335.36","296.92","201.57","137.81","",""
"30695","61306","28653","1","337.28","298.39","201.79","137.97","",""
"30695","61306","28680","1","338.43","298.39","201.68","138.06","",""
"30695","61306","28680","1","338.86","298.26","201.58","138.08","",""
"30536","61306","28680","1","337.96","298.90","201.22","138.17","",""
"30536","61782","28680","1","337.96","298.46","201.44","138.33","",""
"30536","61782","28715","1","337.46","298.94","201.02","138.41","",""
"30536","61782","28715","1","337.32","298.64","200.91","138.44","",""
"30281","61782","28715","1","337.68","300.00","200.14","138.53","",""
"30281","58905","28715","1","336.43","306.30","197.56","138.68","",""
"30281","58905","29292","1","336.88","309.39","195.43","138.77","",""
"30281","58905","29292","1","336.74","311.22","194.86","138.79","",""
"31081","58905","29292","1","339.36","318.62","191.68","138.89","",""
"31081","55116","29292","1","338.34","328.00","186.27","139.03","",""
"31081","55116","31474","1","343.94","329.56","183.68","139.12","",""
"31081","55116","31474","1","343.41","329.17","183.04","139.14","",""
"31016","55116","31474","1","347.43","332.24","181.21","139.24","",""
"31016","51616","31474","1","352.08","335.40","177.70","139.37","",""
"31016","51616","32879","1","347.77","337.50","174.88","139.47","",""
"31016","51616","32879","1","345.71","338.35","174.29","139.49","",""
"31055","51616","32879","1","342.97","338.99","171.85","139.58","",""
"31055","61015","32879","1","336.19","343.76","168.87","139.74","",""
"31055","61015","32543","1","331.91","345.14","167.12","139.83","",""
"31055","61015","32543","1","331.44","345.37","166.79","139.86","",""
"30403","61015","32543","1","328.10","347.06","165.12","139.95","",""
"30403","58698","32543","1","325.97","351.03","163.46","140.10","",""
"30403","58698","31799","1","325.29","351.76","163.34","140.19","",""
"30403","58698","31799","1","326.66","352.24","163.42","140.22","",""
"30614","58698","31799","1","327.42","355.37","163.37","140.31","",""
"30614","59199","31799","1","327.97","261.51","163.22","140.46","",""
"30614","59199","33665","1","328.89","180.86","162.99","140.55","",""
"30614","59199","33665","1","330.22","133.99","162.93","140.58","",""
"30520","59199","33665","1","332.06","82.96","162.68","140.67","",""
"30520","61591","33665","1","333.38","22.63","162.57","140.82","",""
"30520","61591","35332","1","334.34","-9.33","162.47","140.92","",""
"30520","61591","35332","1","334.81","-13.52","162.43","140.95","",""
"30714","61591","35332","1","334.22","-33.11","162.46","141.04","",""
"30714","61258","35332","1","334.88","-61.05","162.77","141.19","",""
"30714","61258","33856","1","334.00","-64.96","161.99","141.29","",""
"30714","61258","33856","1","333.45","-54.09","161.90","141.32","",""
"30388","61258","33856","1","332.15","-58.08","161.82","141.41","",""
"30388","61616","33856","1","332.78","-65.97","162.04","141.56","",""
"30388","61616","35250","1","333.01","-60.42","161.98","141.66","",""
"30388","61616","35250","1","332.93","-48.06","161.98","141.69","",""
"30971","61616","35250","1","333.28","-45.67","162.22","141.78","",""
"30971","61124","35250","1","334.32","-46.08","163.02","141.93","",""
"30971","61124","34267","1","334.45","-38.59","163.09","142.03","",""
"30971","61124","34267","1","334.29","-29.80","163.12","142.06","",""
"30723","61124","34267","1","334.15","-26.06","163.29","142.15","",""
"30723","61425","34267","1","334.15","-23.65","163.35","142.30","",""
"30723","61425","35710","1","333.94","-17.98","163.49","142.40","",""
"30723","61425","35710","1","333.76","-12.92","163.49","142.43","",""
"30758","61425","35710","1","333.56","-9.96","163.69","142.52","",""
"30758","60284","35710","1","333.30","-6.69","163.88","142.67","",""
"30758","60284","35292","1","332.82","-3.36","163.88","142.77","",""
"30758","60284","35292","1","332.59","-1.27","163.92","142.80","",""
"31037","60284","35292","1","332.44","0.65","164.08","142.89","",""
"31037","60217","35292","1","332.75","2.44","164.41","143.04","",""
"31037","60217","36247","1","332.59","3.81","164.60","143.14","",""
"31037","60217","36247","1","332.63","4.26","164.64","143.17","",""
"30694","60217","36247","1","332.66","5.17","164.69","143.26","",""
"30694","59877","36247","1","332.33","5.79","165.19","143.41","",""
"30694","59877","35668","1","332.40","6.16","165.50","143.51","",""
"30694","59877","35668","1","332.36","6.11","165.54","143.54","",""
"30967","59877","35668","1","332.38","6.41","165.75","143.63","",""
"30967","59865","35668","1","331.89","7.68","165.40","143.78","",""
"30967","59865","36440","1","332.02","7.72","165.55","143.88","",""
"30967","59865","36440","1","332.19","7.49","165.61","143.91","",""
"30553","59865","36440","1","332.43","7.39","166.07","144.00","",""
"30553","59816","36440","1","332.51","7.11","166.31","144.15","",""
"30553","59816","35573","1","332.63","6.64","166.46","144.25","",""
"30553","59816","35573","1","332.63","6.31","166.49","144.28","",""
"30798","59816","35573","1","333.59","5.22","166.74","144.37","",""
"30798","60128","35573","1","333.83","5.08","167.09","144.52","",""
"30798","60128","36410","1","334.95","4.52","167.37","144.62","",""
"30798","60128","36410","1","334.80","4.43","167.46","144.65","",""
"30625","60128","36410","1","336.07","4.61","167.77","144.74","",""
"30625","59807","36410","1","335.74","4.22","168.19","144.89","",""
"30625","59807","35024","1","334.93","4.10","168.37","144.99","",""
"30625","59807","35024","1","334.67","4.09","168.42","145.02","",""
"30800","59807","35024","1","334.49","4.24","168.58","145.11","",""
"30800","60702","35024","1","334.75","4.29","168.79","145.26","",""
"30800","60702","35900","1","334.11","4.58","168.90","145.36","",""
"30800","60702","35900","1","334.04","4.53","168.93","145.39","",""
