"A","B","C","G"
"29611","42838","69118","0"
"29940","42838","69118","0"
"29940","43085","69118","0"
"29940","43085","67237","0"
"29940","43085","67237","0"
"29949","43085","67237","0"
"29949","42999","67237","0"
"29949","42999","68090","0"
"29949","42999","68090","0"
"30031","42999","68090","0"
"30031","42730","68090","0"
"30031","42730","67510","0"
"30031","42730","67510","0"
"30072","42730","67510","0"
"30072","42741","67510","0"
"30072","42741","69520","0"
"30072","42741","69520","0"
"30117","42741","69520","0"
"30117","43116","69520","0"
"30117","43116","67276","0"
"30117","43116","67276","0"
"30041","43116","67276","0"
"30041","42355","67276","0"
"30041","42355","64872","0"
"30041","42355","64872","0"
"29891","42355","64872","0"
"29891","42475","64872","0"
"30784","41315","52001","0"
"30784","41315","51689","0"
"30784","41315","51689","0"
"31024","41315","51689","0"
"31024","41208","51689","0"
"31024","41208","52028","0"
"31024","41208","52028","0"
"30933","41208","52028","0"
"30933","43191","52028","0"
"30933","43191","52398","0"
"30933","43191","52398","0"
"31397","43191","52398","0"
"31397","42531","52398","0"
"31397","42531","52631","0"
"31397","42531","52631","0"
"31252","42531","52631","0"
"31252","42188","52631","0"
"31252","42188","53296","0"
"31252","42188","53296","0"
"31650","42188","53296","0"
"31650","42962","53296","0"
"31650","42962","52937","0"
"31650","42962","52937","0"
"31272","42962","52937","0"
"31272","42567","52937","0"
"31272","42567","52577","0"
"31272","42567","52577","0"
"31021","42567","52577","0"
"31021","41804","52577","0"
"31021","41804","52635","0"
"31021","41804","52635","0"
"30943","41804","52635","0"
"30943","40828","52635","0"
"30943","40828","52516","0"
"30943","40828","52516","0"
"30869","40828","52516","0"
"30869","42164","52516","0"
"30869","42164","52085","0"
"30869","42164","52085","0"
"31088","42164","52085","0"
"31088","40717","52085","0"
"31088","40717","52872","0"
"31088","40717","52872","0"
"31413","40717","52872","0"
"31413","42682","52872","0"
"31413","42682","52213","0"
"31413","42682","52213","0"
"30673","42682","52213","0"
"30673","42392","52213","0"
"30673","42392","51186","0"
"30673","42392","51186","0"
"30987","42392","51186","0"
"30987","42461","51186","0"
"30987","42461","50970","0"
"30987","42461","50970","0"
"30715","42461","50970","0"
"30715","43411","50970","0"
"30715","43411","50346","0"
"30715","43411","50346","0"
"31123","43411","50346","0"
"31123","42643","50346","0"
"31123","42643","50312","0"
"31123","42643","50312","0"
"30940","42643","50312","0"
"30940","43228","50312","0"
"30940","43228","49971","0"
"30940","43228","49971","0"
"31094","43228","49971","0"
"31094","42487","49971","0"
"31094","42487","50564","0"
"31094","42487","50564","0"
"31115","42487","50564","0"
"31115","43154","50564","0"
"31115","43154","50310","0"
"31115","43154","50310","0"
"31044","43154","50310","0"
"31044","42811","50310","0"
"31044","42811","50765","0"
"31044","42811","50765","0"
"31415","42811","50765","0"
"31415","42941","50765","0"
"31415","42941","50833","0"
"31415","42941","50833","0"
"31064","42941","50833","0"
"31064","42739","50833","0"
"31064","42739","50522","0"
"31064","42739","50522","0"
"31392","42739","50522","0"
"31392","43161","50522","0"
"31392","43161","50373","0"
"31392","43161","50373","0"
"30939","43161","50373","0"
"30939","43763","50373","0"
"30939","43763","49939","0"
"30939","43763","49939","0"
"31216","43763","49939","0"
"31216","42472","49939","0"
"31216","42472","50734","0"
"31216","42472","50734","0"
"31017","42472","50734","0"
"31017","43257","50734","0"
"31017","43257","50034","0"
"31017","43257","50034","0"
"31245","43257","50034","0"
"31245","42816","50034","0"
"31245","42816","51414","0"
"31245","42816","51414","0"
"31407","42816","51414","0"
"31407","42934","51414","0"
"31407","42934","50190","0"
"31407","42934","50190","0"
"31157","42934","50190","0"
"31157","43021","50190","0"
"31157","43021","50264","0"
"31157","43021","50264","0"
"31400","43021","50264","0"
"31400","42855","50264","0"
"31400","42855","50176","0"
"31400","42855","50176","0"
"31119","42855","50176","0"
"31119","43820","50176","0"
"31119","43820","49507","0"
"31119","43820","49507","0"
"31163","43820","49507","0"
"31163","42821","49507","0"
"31163","42821","50305","0"
"31163","42821","50305","0"
"30760","42821","50305","0"
"30760","43458","50305","0"
"30760","43458","49520","0"
"30760","43458","49520","0"
"31298","43458","49520","0"
"31298","42143","49520","0"
"31298","42143","48668","0"
"31298","42143","48668","0"
"31840","42143","48668","0"
"31840","41936","48668","0"
"31840","41936","47763","0"
"31840","41936","47763","0"
"31467","41936","47763","0"
"31467","42166","47763","0"
"31467","42166","48353","0"
"31467","42166","48353","0"
"32152","42166","48353","0"
"32152","42028","48353","0"
"32152","42028","49217","0"
"32152","42028","49217","0"
"31888","42028","49217","0"
"31888","42459","49217","0"
"31888","42459","49506","0"
"31888","42459","49506","0"
"31988","42459","49506","0"
"31988","42319","49506","0"
"31988","42319","49163","0"
"31988","42319","49163","0"
"31733","42319","49163","0"
"31733","40869","49163","0"
"31733","40869","48899","0"
"31729","38174","45034","0"
"31729","38174","45034","0"
"31473","38174","45034","0"
"31473","38132","45034","0"
"31473","38132","46114","0"
"31473","38132","46114","0"
"31757","38132","46114","0"
"31757","37824","46114","0"
"31757","37824","46094","0"
"31757","37824","46094","0"
"31744","37824","46094","0"
"31744","38434","46094","0"
"31744","38434","46329","0"
"31744","38434","46329","0"
"31443","38434","46329","0"
"31443","38001","46329","0"
"31443","38001","46722","0"
"31443","38001","46722","0"
"31509","38001","46722","0"
"31509","38004","46722","0"
"31509","38004","46579","0"
"31509","38004","46579","0"
"31592","38004","46579","0"
"31592","37902","46579","0"
"31592","37902","47210","0"
"31592","37902","47210","0"
"31839","37902","47210","0"
"31839","37798","47210","0"
"31839","37798","47350","0"
"31839","37798","47350","0"
"31367","37798","47350","0"
"31367","38268","47350","0"
"31367","38268","47656","0"
"31367","38268","47656","0"
"31422","38268","47656","0"
"31422","37846","47656","0"
"31422","37846","48367","0"
"31422","37846","48367","0"
"31658","37846","48367","0"
"31658","37934","48367","0"
"31658","37934","48367","0"
"31658","37934","48367","0"
"31444","37934","48367","0"
"31444","37772","48367","0"
"31444","37772","48236","0"
"31444","37772","48236","0"
"31520","37772","48236","0"
"31520","38338","48236","0"
"31520","38338","48396","0"
"31520","38338","48396","0"
"31690","38338","48396","0"
"31690","38009","48396","0"
"31690","38009","48665","0"
"31690","38009","48665","0"
"31835","38009","48665","0"
"31835","37951","48665","0"
"31835","37951","48711","0"
"31835","37951","48711","0"
"31569","37951","48711","0"
"31569","37742","48711","0"
"31569","37742","48297","0"
"31569","37742","48297","0"
"31054","37742","48297","0"
"31054","38164","48297","0"
"31054","38164","48162","0"
"31054","38164","48162","0"
"31510","38164","48162","0"
"31510","38348","48162","0"
"31510","38348","48373","0"
"31510","38348","48373","0"
"31641","38348","48373","0"
"31641","37910","48373","0"
"31641","37910","48407","0"
"31641","37910","48407","0"
"31597","37910","48407","0"
"31597","37943","48407","0"
"31597","37943","48125","0"
"31597","37943","48125","0"
"31574","37943","48125","0"
"31574","37910","48125","0"
"31574","37910","47957","0"
"31574","37910","47957","0"
"31695","37910","47957","0"
"31695","37919","47957","0"
"31695","37919","48034","0"
"31695","37919","48034","0"
"31659","37919","48034","0"
"31659","37906","48034","0"
"31659","37906","48199","0"
"31659","37906","48199","0"
"31248","37906","48199","0"
"31248","38179","48199","0"
"31248","38179","48015","0"
"31248","38179","48015","0"
"31296","38179","48015","0"
"31296","37976","48015","0"
"31296","37976","47404","0"
"31296","37976","47404","0"
"31438","37976","47404","0"
"31438","37959","47404","0"
"31438","37959","47443","0"
"31438","37959","47443","0"
"31581","37959","47443","0"
"31581","38341","47443","0"
"31581","38341","47547","0"
"31581","38341","47547","0"
"31760","38341","47547","0"
"31760","37737","47547","0"
"31760","37737","48129","0"
"31760","37737","48129","0"
"31439","37737","48129","0"
"31439","38133","48129","0"
"31439","38133","47894","0"
"31439","38133","47894","0"
"31204","38133","47894","0"
"31204","37710","47894","0"
"31204","37710","47672","0"
"31204","37710","47672","0"
"31543","37710","47672","0"
"31543","37921","47672","0"
"31543","37921","48037","0"
"31543","37921","48037","0"
"31564","37921","48037","0"
"31564","38052","48037","0"
"31564","38052","48000","0"
"31564","38052","48000","0"
"31672","38052","48000","0"
"31672","38179","48000","0"
"31672","38179","48383","0"
"31672","38179","48383","0"
"31879","38179","48383","0"
"31879","37950","48383","0"
"31879","37950","48634","0"
"31879","37950","48634","0"
"31647","37950","48634","0"
"31647","37849","48634","0"
"31647","37849","48358","0"
"31647","37849","48358","0"
"31227","37849","48358","0"
"31227","37723","48358","0"
"31227","37723","48166","0"
"31227","37723","48166","0"
"31460","37723","48166","0"
"31460","37863","48166","0"
"31460","37863","48427","0"
"31460","37863","48427","0"
"31602","37863","48427","0"
"31602","37750","48427","0"
"31602","37750","48071","0"
"31602","37750","48071","0"
"31633","37750","48071","0"
"31633","37770","48071","0"
"31633","37770","47994","0"
"31633","37770","47994","0"
"31695","37770","47994","0"
"31695","37980","47994","0"
"31695","37980","48188","0"
"31695","37980","48188","0"
"31830","37980","48188","0"
"31830","37881","48188","0"
"31830","37881","48544","0"
"31830","37881","48544","0"
"31765","37881","48544","0"
"31765","37964","48544","0"
"31765","37964","48161","0"
"31765","37964","48161","0"
"31335","37964","48161","0"
"31335","37760","48161","0"
"31335","37760","48073","0"
"31335","37760","48073","0"
"31518","37760","48073","0"
"31518","38038","48073","0"
"31518","38038","48194","0"
"31518","38038","48194","0"
"31856","38038","48194","0"
"31856","37925","48194","0"
"31856","37925","48118","0"
"31856","37925","48118","0"
"31469","37925","48118","0"
"31469","37976","48118","0"
"31469","37976","47890","0"
"31469","37976","47890","0"
"31669","37976","47890","0"
"31669","38175","47890","0"
"31669","38175","47969","0"
"31669","38175","47969","0"
"31786","38175","47969","0"
"31786","38202","47969","0"
"31786","38202","47922","0"
"31786","38202","47922","0"
"31593","38202","47922","0"
"31593","37944","47922","0"
"31593","37944","47921","0"
"31593","37944","47921","0"
"31110","37944","47921","0"
"31110","37912","47921","0"
"31110","37912","48172","0"
"31110","37912","48172","0"
"31572","37912","48172","0"
"31572","37976","48172","0"
"31572","37976","47966","0"
"30733","41128","52850","0"
"30733","41128","52850","0"
"30859","41128","52850","0"
"30859","40421","52850","0"
"30859","40421","52876","0"
"30859","40421","52876","0"
"30875","40421","52876","0"
"30875","41123","52876","0"
"30875","41123","52459","0"
"30875","41123","52459","0"
"31230","41123","52459","0"
"31230","40312","52459","0"
"31230","40312","53394","0"
"31230","40312","53394","0"
"31494","40312","53394","0"
"31494","41793","53394","0"
"31494","41793","54346","0"
"31494","41793","54346","0"
"31323","41793","54346","0"
"31323","42261","54346","0"
"31323","42261","52997","0"
"31323","42261","52997","0"
"30880","42261","52997","0"
"30880","41648","52997","0"
"30880","41648","53825","0"
"30880","41648","53825","0"
"31219","41648","53825","0"
"31219","41554","53825","0"
"31219","41554","53752","0"
"31219","41554","53752","0"
"31097","41554","53752","0"
"31097","41439","53752","0"
"31097","41439","54784","0"
"31097","41439","54784","0"
"31435","41439","54784","0"
"31435","42178","54784","0"
"31435","42178","55172","0"
"31435","42178","55172","0"
"31428","42178","55172","0"
"31428","42072","55172","0"
"31428","42072","55155","0"
"31428","42072","55155","0"
"31561","42072","55155","0"
"31561","41770","55155","0"
"31561","41770","55440","0"
"31561","41770","55440","0"
"31587","41770","55440","0"
"31587","42044","55440","0"
"31587","42044","54935","0"
"31587","42044","54935","0"
"31556","42044","54935","0"
"31556","41990","54935","0"
"31556","41990","55157","0"
"31556","41990","55157","0"
"31601","41990","55157","0"
"31601","41806","55157","0"
"31601","41806","54435","0"
"31601","41806","54435","0"
"31175","41806","54435","0"
"31175","41892","54435","0"
"31175","41892","53737","0"
"31175","41892","53737","0"
"30820","41892","53737","0"
"30820","41397","53737","0"
"30820","41397","54488","0"
"30820","41397","54488","0"
"31323","41397","54488","0"
"31323","41082","54488","0"
"31323","41082","54181","0"
"31323","41082","54181","0"
"31111","41082","54181","0"
"31111","40995","54181","0"
"31111","40995","55134","0"
"31111","40995","55134","0"
"31369","40995","55134","0"
"31369","41737","55134","0"
"31369","41737","55187","0"
"31369","41737","55187","0"
"31611","41737","55187","0"
"31611","41740","55187","0"
"31611","41740","55181","0"
"31611","41740","55181","0"
"31568","41740","55181","0"
"31568","41805","55181","0"
"31568","41805","55374","0"
"31568","41805","55374","0"
"31646","41805","55374","0"
"31646","42308","55374","0"
"31646","42308","55190","0"
"31646","42308","55190","0"
"31607","42308","55190","0"
"31607","41737","55190","0"
"31607","41737","55169","0"
"31607","41737","55169","0"
"31649","41737","55169","0"
"31649","41670","55169","0"
"31649","41670","54664","0"
"31649","41670","54664","0"
"31086","41670","54664","0"
"31086","40688","54664","0"
"31086","40688","54396","0"
"31086","40688","54396","0"
"30986","40688","54396","0"
"30986","41361","54396","0"
"30986","41361","55242","0"
"30986","41361","55242","0"
"31432","41361","55242","0"
"31432","41427","55242","0"
"31432","41427","54957","0"
"31432","41427","54957","0"
"31169","41427","54957","0"
"31169","41245","54957","0"
"31169","41245","54733","0"
"31169","41245","54733","0"
"31000","41245","54733","0"
"31000","40865","54733","0"
"31000","40865","55371","0"
"31000","40865","55371","0"
"31402","40865","55371","0"
"31402","41414","55371","0"
"31402","41414","55288","0"
"31402","41414","55288","0"
"31566","41414","55288","0"
"31566","41666","55288","0"
"31566","41666","54788","0"
"31566","41666","54788","0"
"31239","41666","54788","0"
"31239","41104","54788","0"
"31239","41104","53905","0"
"31239","41104","53905","0"
"30984","41104","53905","0"
"30984","41449","53905","0"
"30984","41449","55445","0"
"30984","41449","55445","0"
"31169","41449","55445","0"
"31169","41604","55445","0"
"31169","41604","55481","0"
"31169","41604","55481","0"
"31483","41604","55481","0"
"31483","41429","55481","0"
"31483","41429","54950","0"
"31483","41429","54950","0"
"31183","41429","54950","0"
"31183","40628","54950","0"
"31183","40628","54916","0"
"31183","40628","54916","0"
"31132","40628","54916","0"
"31132","41121","54916","0"
"31132","41121","56185","0"
"31132","41121","56185","0"
"31150","41121","56185","0"
"31150","41154","56185","0"
"31150","41154","55195","0"
"31150","41154","55195","0"
"31340","41154","55195","0"
"31340","41286","55195","0"
"31340","41286","52425","0"
"31340","41286","52425","0"
"31799","42781","50461","0"
"31799","42781","50461","0"
"31959","42781","50461","0"
"31959","43159","50461","0"
"31959","43159","50927","0"
"31959","43159","50927","0"
"31479","43159","50927","0"
"31479","45057","50927","0"
"31479","45057","51449","0"
"31479","45057","51449","0"
"31662","45057","51449","0"
