A,B,C,G,,,,,,,,,
46403,38067,46683,1,319.58,319.09,39.58,20.22,,,,,
46403,38067,46493,1,322.94,319.68,38.60,20.35,,,,,
46403,38067,46493,1,321.75,319.41,38.53,20.37,,,,,
45775,38067,46493,1,323.00,330.75,38.38,20.49,,,,,
45775,38596,46493,1,333.37,335.83,34.63,20.60,,,,,
45775,38596,46753,1,350.74,350.24,28.52,20.73,,,,,
45775,38596,46753,1,351.22,350.67,28.23,20.75,,,,,
44908,38596,46753,1,358.01,352.25,26.20,20.87,,,,,
44908,36831,46753,1,359.44,354.97,26.03,20.98,,,,,
44908,36831,47624,1,359.44,354.97,25.51,21.10,,,,,
44908,36831,47624,1,277.42,319.82,25.31,21.13,,,,,
45710,36831,47624,1,202.65,239.65,22.76,21.25,,,,,
45710,38276,47624,1,133.01,168.26,22.58,21.36,,,,,
45710,38276,47837,1,73.06,102.01,23.64,21.48,,,,,
45710,38276,47837,1,50.22,73.65,24.03,21.51,,,,,
45963,38276,47837,1,15.02,30.32,22.88,21.63,,,,,
45963,38086,47837,1,-16.52,-1.37,24.46,21.74,,,,,
45963,38086,48319,1,-32.26,-26.13,24.49,21.87,,,,,
45963,38086,48319,1,-25.71,-22.50,24.77,21.89,,,,,
45915,38086,48319,1,-27.53,-37.56,21.20,22.01,,,,,
45915,38506,48319,1,-18.11,-43.44,14.17,22.12,,,,,
45915,38506,49489,1,-15.10,-47.38,6.21,22.25,,,,,
45915,38506,49489,1,-3.17,-36.21,5.00,22.28,,,,,
46280,38506,49489,1,-2.20,-43.42,0.05,22.40,,,,,
46280,37937,49489,1,7.69,-39.17,-4.90,22.51,,,,,
46280,37937,50103,1,14.89,-40.48,-9.74,22.64,,,,,
46280,37937,50103,1,25.19,-31.99,-10.42,22.66,,,,,
45784,37937,50103,1,26.37,58.43,-11.04,22.79,,,,,
45784,37969,50103,1,30.12,140.14,-11.60,22.89,,,,,
45784,37969,50204,1,32.97,212.05,-12.27,23.02,,,,,
45784,37969,50204,1,40.27,251.78,-12.54,23.05,,,,,
46322,37969,50204,1,44.22,300.84,-12.75,23.17,,,,,
46322,37895,50204,1,46.80,337.20,-13.86,23.28,,,,,
46322,37895,50512,1,49.65,368.82,-12.65,23.41,,,,,
46322,37895,50512,1,49.65,368.82,-12.65,23.44,,,,,
46303,37895,50512,1,49.65,368.82,-12.15,23.56,,,,,
46303,37525,50512,1,49.65,368.82,-11.56,23.66,,,,,
46303,37525,50371,1,49.65,368.82,-11.80,23.79,,,,,
46303,37525,50371,1,49.65,368.82,-11.91,23.82,,,,,
46102,37525,50371,1,49.65,368.82,-14.68,23.94,,,,,
46102,37803,50371,1,49.65,368.82,-15.26,24.05,,,,,
46102,37803,51210,1,49.65,368.82,-16.14,24.18,,,,,
46102,37803,51210,1,49.65,368.82,-16.14,24.21,,,,,
46534,37803,51210,1,49.65,368.82,-15.89,24.33,,,,,
46534,37741,51210,1,49.65,368.82,-16.12,24.43,,,,,
46534,37741,51867,1,49.65,368.82,-16.89,24.57,,,,,
46534,37741,51867,1,49.65,368.82,-16.88,24.59,,,,,
46076,37741,51867,1,49.65,368.82,-16.37,24.72,,,,,
46076,37843,51867,1,49.65,368.82,-16.85,24.82,,,,,
46076,37843,50597,1,49.65,368.82,-17.34,24.95,,,,,
46076,37843,50597,1,49.65,368.82,-17.55,24.98,,,,,
46046,37843,50597,1,49.65,368.82,-18.26,25.10,,,,,
46046,37779,50597,1,49.65,368.82,-18.83,25.20,,,,,
46046,37779,51565,1,49.65,368.82,-18.82,25.34,,,,,
46046,37779,51565,1,49.65,368.82,-18.85,25.36,,,,,
46572,37779,51565,1,75.54,354.75,-18.59,25.49,,,,,
46572,37834,51565,1,75.90,349.65,-19.00,25.59,,,,,
46572,37834,51991,1,76.83,344.39,-18.35,25.73,,,,,
46572,37834,51991,1,76.38,340.28,-18.22,25.75,,,,,
46248,37834,51991,1,76.40,337.25,-18.47,25.88,,,,,
46248,37856,51991,1,77.12,334.24,-19.15,25.98,,,,,
46248,37856,51811,1,76.74,333.07,-21.05,26.12,,,,,
46248,37856,51811,1,75.94,332.23,-21.46,26.14,,,,,
46340,37856,51811,1,74.64,326.53,-21.25,26.27,,,,,
46340,37894,51811,1,74.58,325.53,-21.58,26.37,,,,,
46340,37894,51912,1,71.27,325.48,-20.07,26.51,,,,,
46340,37894,51912,1,71.48,326.66,-20.19,26.53,,,,,
46011,37894,51912,1,73.45,326.35,-20.98,26.66,,,,,
46011,37860,51912,1,72.79,327.98,-21.05,26.76,,,,,
46011,37860,51713,1,71.38,327.77,-20.39,26.90,,,,,
46011,37860,51713,1,71.52,328.37,-20.40,26.92,,,,,
46543,37860,51713,1,72.00,329.05,-20.64,27.05,,,,,
46543,37958,51713,1,71.23,329.53,-20.67,27.15,,,,,
46543,37958,51989,1,70.24,330.87,-20.13,27.29,,,,,
46543,37958,51989,1,70.83,330.39,-20.29,27.31,,,,,
46143,37958,51989,1,70.27,331.82,-19.35,27.44,,,,,
46143,37935,51989,1,69.83,334.92,-18.83,27.54,,,,,
46143,37935,51895,1,69.85,335.56,-18.66,27.68,,,,,
46143,37935,51895,1,69.39,336.57,-18.46,27.70,,,,,
46257,37935,51895,1,68.41,337.58,-16.87,27.83,,,,,
46257,37901,51895,1,69.51,338.70,-16.83,27.93,,,,,
46257,37901,51351,1,66.07,338.45,-14.94,28.07,,,,,
46257,37901,51351,1,65.07,339.82,-14.05,28.09,,,,,
45965,37901,51351,1,57.04,342.93,-9.05,28.22,,,,,
45965,37960,51351,1,54.82,252.31,-8.15,28.32,,,,,
45965,37960,50964,1,40.88,166.00,-2.16,28.46,,,,,
45965,37960,50964,1,40.12,122.50,-0.20,28.48,,,,,
46674,37960,50964,1,27.52,68.21,6.24,28.61,,,,,
46674,38115,50964,1,7.75,33.58,15.61,28.71,,,,,
46674,38115,50233,1,-11.99,4.76,23.81,28.84,,,,,
46674,38115,50233,1,-10.75,2.77,24.77,28.87,,,,,
46767,38115,50233,1,74.40,-19.79,27.77,28.99,,,,,
46767,37264,50233,1,154.89,-30.84,29.55,29.10,,,,,
46767,37264,51558,1,229.73,-42.74,29.37,29.23,,,,,
46767,37264,51558,1,263.43,-32.96,29.16,29.26,,,,,
46772,37264,51558,1,318.07,-38.17,29.52,29.38,,,,,
46772,37343,51558,1,353.90,-35.72,30.39,29.49,,,,,
46772,37343,51833,1,353.90,-35.72,30.59,29.62,,,,,
46772,37343,51833,1,353.90,-35.72,30.52,29.65,,,,,
46521,37343,51833,1,353.90,-35.72,31.00,29.77,,,,,
46521,37203,51833,1,353.90,-35.72,31.18,29.87,,,,,
46521,37203,50697,1,353.90,-35.72,31.03,30.01,,,,,
46521,37203,50697,1,353.90,-35.72,31.03,30.03,,,,,
46251,37203,50697,1,353.90,-35.72,29.58,30.15,,,,,
46251,37380,50697,1,353.90,-35.72,30.11,30.26,,,,,
46251,37380,51897,1,353.90,-35.72,29.05,30.39,,,,,
46251,37380,51897,1,353.90,-35.72,28.98,30.42,,,,,
46686,37380,51897,1,353.90,-35.72,25.62,30.54,,,,,
46686,38171,51897,1,353.90,-35.72,23.39,30.65,,,,,
46686,38171,51954,1,353.90,-35.72,25.87,30.78,,,,,
46686,38171,51954,1,353.90,-35.72,26.55,30.81,,,,,
46552,38171,51954,1,353.90,-35.72,31.51,30.93,,,,,
46552,37857,51954,1,353.90,-35.72,34.12,31.03,,,,,
46552,37857,51206,1,353.90,-35.72,35.19,31.17,,,,,
46552,37857,51206,1,353.90,-35.72,35.19,31.19,,,,,
46802,37857,51206,1,353.90,-35.72,36.40,31.32,,,,,
46802,38019,51206,1,353.90,-35.72,37.03,31.42,,,,,
46802,38019,51128,1,353.90,-35.72,38.12,31.55,,,,,
46802,38019,51128,1,353.90,-35.72,38.36,31.58,,,,,
46492,38019,51128,1,353.90,-35.72,40.24,31.70,,,,,
46492,38610,51128,1,353.90,-35.72,41.54,31.81,,,,,
46492,38610,50112,1,353.90,-35.72,42.42,31.94,,,,,
46492,38610,50112,1,353.90,-35.72,42.56,31.97,,,,,
46928,38610,50112,1,353.90,-35.72,43.22,32.09,,,,,
46928,38194,50112,1,353.90,-35.72,43.80,32.20,,,,,
46928,38194,50172,1,353.90,-35.72,42.64,32.33,,,,,
46928,38194,50172,1,353.90,-35.72,42.57,32.35,,,,,
46453,38194,50172,1,354.89,25.20,42.35,32.47,,,,,
46453,37849,50172,1,348.49,21.02,42.36,32.58,,,,,
46453,37849,50212,1,344.73,20.71,41.96,32.71,,,,,
46453,37849,50212,1,341.84,21.42,41.86,32.74,,,,,
46260,37849,50212,1,338.38,19.50,42.12,32.86,,,,,
46260,37745,50212,1,338.30,19.21,41.95,32.97,,,,,
46260,37745,51150,1,336.11,20.96,41.46,33.10,,,,,
46260,37745,51150,1,335.10,21.38,41.45,33.13,,,,,
46833,37745,51150,1,334.04,23.50,41.66,33.25,,,,,
46833,37615,51150,1,332.79,23.12,41.88,33.36,,,,,
46833,37615,51476,1,332.40,24.27,42.13,33.49,,,,,
46833,37615,51476,1,332.70,23.90,42.18,33.52,,,,,
46378,37615,51476,1,331.35,24.23,42.41,33.64,,,,,
46378,37749,51476,1,330.90,24.94,43.00,33.75,,,,,
46378,37749,51010,1,329.27,22.63,43.79,33.88,,,,,
46378,37749,51010,1,329.25,21.73,44.02,33.90,,,,,
46381,37749,51010,1,328.43,23.49,44.05,34.03,,,,,
46381,38070,51010,1,327.66,23.02,44.04,34.13,,,,,
46381,38070,51097,1,327.20,22.23,44.21,34.27,,,,,
46381,38070,51097,1,327.50,22.04,44.14,34.29,,,,,
46705,38070,51097,1,328.13,20.57,44.26,34.42,,,,,
46705,37911,51097,1,328.18,20.74,44.20,34.52,,,,,
46705,37911,51210,1,328.58,20.91,44.30,34.66,,,,,
46705,37911,51210,1,328.86,20.81,44.32,34.68,,,,,
46486,37911,51210,1,329.46,20.50,44.40,34.81,,,,,
46486,37854,51210,1,329.38,20.67,44.27,34.91,,,,,
46486,37854,51410,1,329.61,20.77,44.01,35.05,,,,,
46486,37854,51410,1,329.50,20.73,44.02,35.07,,,,,
46819,37854,51410,1,329.17,21.03,44.07,35.20,,,,,
46819,38006,51410,1,328.90,19.86,44.09,35.30,,,,,
46819,38006,51415,1,327.22,19.98,43.85,35.44,,,,,
46819,38006,51415,1,327.09,20.13,43.87,35.46,,,,,
46540,38006,51415,1,326.38,20.50,44.36,35.59,,,,,
46540,37985,51415,1,327.86,21.34,45.11,35.69,,,,,
46540,37985,50698,1,328.49,20.92,45.14,35.83,,,,,
46540,37985,50698,1,328.30,20.67,45.14,35.85,,,,,
46571,37985,50698,1,328.68,20.88,45.23,35.98,,,,,
46571,38323,50698,1,328.74,20.68,45.03,36.08,,,,,
46571,38323,51129,1,329.59,20.70,44.76,36.22,,,,,
46571,38323,51129,1,329.29,20.54,44.79,36.24,,,,,
46648,38323,51129,1,328.90,21.69,44.55,36.37,,,,,
46648,38083,51129,1,328.42,21.19,44.63,36.47,,,,,
46648,38083,51366,1,327.44,22.14,44.58,36.61,,,,,
46648,38083,51366,1,327.39,22.18,44.56,36.63,,,,,
46695,38083,51366,1,327.35,21.64,44.63,36.76,,,,,
46695,37963,51366,1,327.66,21.63,44.65,36.86,,,,,
46695,37963,50664,1,327.56,21.66,44.55,36.99,,,,,
46695,37963,50664,1,327.68,21.77,44.54,37.02,,,,,
46639,37963,50664,1,327.38,21.48,44.57,37.14,,,,,
46639,37934,50664,1,327.17,21.43,44.76,37.25,,,,,
46639,37934,51511,1,326.83,22.02,44.94,37.38,,,,,
46639,37934,51511,1,327.06,22.20,44.96,37.41,,,,,
46635,37934,51511,1,326.65,21.83,44.93,37.53,,,,,
46635,37968,51511,1,326.84,21.66,44.91,37.64,,,,,
46635,37968,50865,1,327.35,22.13,44.76,37.77,,,,,
46635,37968,50865,1,327.63,22.30,44.71,37.80,,,,,
46687,37968,50865,1,327.84,22.43,44.66,37.92,,,,,
46687,37987,50865,1,327.69,22.50,44.74,38.03,,,,,
46687,37987,51320,1,327.70,22.71,44.93,38.16,,,,,
46687,37987,51320,1,327.67,22.77,44.92,38.19,,,,,
46532,37987,51320,1,327.53,22.16,44.91,38.31,,,,,
46532,38030,51320,1,326.91,22.33,45.01,38.42,,,,,
46532,38030,50917,1,326.15,26.56,44.86,38.55,,,,,
46532,38030,50917,1,326.66,26.63,44.78,38.58,,,,,
46664,38030,50917,1,324.47,26.01,44.32,38.70,,,,,
46664,37745,50917,1,327.04,27.73,44.56,38.81,,,,,
46664,37745,51142,1,324.85,25.99,45.60,38.94,,,,,
46664,37745,51142,1,324.34,25.57,45.80,38.97,,,,,
46629,37745,51142,1,325.54,25.61,45.45,39.09,,,,,
46629,37857,51142,1,325.20,25.31,45.10,39.20,,,,,
46629,37857,50917,1,324.07,26.10,46.79,39.33,,,,,
46629,37857,50917,1,323.84,26.14,47.12,39.36,,,,,
46514,37857,50917,1,323.23,26.51,48.72,39.48,,,,,
46514,37730,50917,1,322.72,27.09,49.92,39.59,,,,,
46514,37730,51485,1,322.25,28.33,51.18,39.72,,,,,
46514,37730,51485,1,322.35,27.87,51.47,39.75,,,,,
47313,37730,51485,1,322.32,26.90,52.00,39.87,,,,,
47313,38076,51485,1,322.23,26.09,51.87,39.98,,,,,
47313,38076,50666,1,324.04,22.29,50.87,40.11,,,,,
47313,38076,50666,1,324.24,22.01,50.70,40.14,,,,,
46970,38076,50666,1,322.25,23.14,50.12,40.26,,,,,
46970,37801,50666,1,322.37,23.49,50.19,40.37,,,,,
46970,37801,51287,1,321.77,23.44,50.55,40.50,,,,,
46970,37801,51287,1,321.71,23.66,50.51,40.53,,,,,
47090,37801,51287,1,323.57,23.62,50.41,40.65,,,,,
47090,37829,51287,1,324.52,23.73,50.15,40.76,,,,,
47090,37829,50386,1,324.18,24.24,50.19,40.89,,,,,
47090,37829,50386,1,324.23,24.31,50.22,40.92,,,,,
46970,37829,50386,1,324.97,24.95,49.85,41.04,,,,,
46970,37860,50386,1,327.16,23.41,48.56,41.15,,,,,
46970,37860,51170,1,332.37,24.13,45.48,41.28,,,,,
46970,37860,51170,1,332.02,24.25,44.92,41.31,,,,,
46906,37860,51170,1,332.36,25.95,43.69,41.43,,,,,
46906,37716,51170,1,336.59,26.33,41.14,41.54,,,,,
46906,37716,51058,1,345.97,25.71,34.21,41.67,,,,,
46906,37716,51058,1,346.91,26.31,33.07,41.69,,,,,
46817,37716,51058,1,350.88,27.67,30.25,41.82,,,,,
46817,37749,51058,1,355.73,27.18,27.55,41.92,,,,,
46817,37749,51310,1,360.56,27.29,23.36,42.06,,,,,
46817,37749,51310,1,360.56,27.29,22.65,42.08,,,,,
46941,37749,51310,1,269.77,27.63,17.68,42.21,,,,,
46941,37552,51310,1,197.18,29.13,11.22,42.31,,,,,
46941,37552,51241,1,134.04,32.97,3.34,42.45,,,,,
46941,37552,51241,1,102.27,31.97,2.12,42.47,,,,,
46958,37552,51241,1,60.12,33.74,-4.22,42.60,,,,,
46958,37620,51241,1,35.24,33.29,-10.71,42.70,,,,,
46958,37620,51584,1,11.89,32.10,-18.11,42.84,,,,,
46958,37620,51584,1,16.42,30.43,-19.53,42.86,,,,,
47123,37620,51584,1,2.14,23.89,-27.54,42.99,,,,,
47123,37869,51584,1,-1.34,19.89,-32.37,43.09,,,,,
47123,37869,51705,1,-3.98,119.61,-37.59,43.23,,,,,
47123,37869,51705,1,9.04,181.04,-38.57,43.25,,,,,
47501,37869,51705,1,7.21,243.26,-43.07,43.38,,,,,
47501,38078,51705,1,10.76,288.02,-47.28,43.49,,,,,
47501,38078,53196,1,14.98,327.58,-53.65,43.62,,,,,
47501,38078,53196,1,26.75,331.59,-54.81,43.65,,,,,
47089,38078,53196,1,28.81,351.09,-58.79,43.77,,,,,
47089,38168,53196,1,32.67,362.93,-60.17,43.88,,,,,
47089,38168,54837,1,32.67,362.93,-62.31,44.02,,,,,
47089,38168,54837,1,41.89,355.03,-62.65,44.05,,,,,
47279,38168,54837,1,42.48,359.60,-61.92,44.17,,,,,
47279,38160,54837,1,45.27,356.64,-59.62,44.28,,,,,
47279,38160,54780,1,49.97,356.29,-58.98,44.42,,,,,
47279,38160,54780,1,55.04,345.55,-59.07,44.45,,,,,
47074,38160,54780,1,60.05,346.27,-57.49,44.57,,,,,
47074,38223,54780,1,62.31,343.38,-57.79,44.68,,,,,
47074,38223,54632,1,60.43,340.89,-53.01,44.82,,,,,
47074,38223,54632,1,61.87,334.46,-52.22,44.84,,,,,
47043,38223,54632,1,65.16,331.75,-50.59,44.97,,,,,
47043,37944,54632,1,66.90,327.44,-49.93,45.08,,,,,
47043,37944,53365,1,69.64,322.91,-49.48,45.21,,,,,
47043,37944,53365,1,70.48,319.59,-49.39,45.24,,,,,
46932,37944,53365,1,71.94,315.76,-50.48,45.36,,,,,
46932,38095,53365,1,73.31,313.65,-50.76,45.47,,,,,
46932,38095,53845,1,73.17,313.04,-50.47,45.61,,,,,
46932,38095,53845,1,72.77,312.55,-50.53,45.64,,,,,
47242,38095,53845,1,72.68,311.26,-50.22,45.76,,,,,
47242,38128,53845,1,72.26,309.92,-49.48,45.87,,,,,
47242,38128,55062,1,71.95,308.84,-49.67,46.01,,,,,
47242,38128,55062,1,71.70,308.72,-49.78,46.03,,,,,
46894,38128,55062,1,72.42,307.17,-49.59,46.16,,,,,
46894,38143,55062,1,72.73,306.42,-49.83,46.26,,,,,
46894,38143,54068,1,73.00,305.26,-49.89,46.40,,,,,
46894,38143,54068,1,72.80,305.31,-49.87,46.43,,,,,
46914,38143,54068,1,72.89,304.82,-50.04,46.55,,,,,
46914,38079,54068,1,72.90,304.91,-50.02,46.66,,,,,
46914,38079,53829,1,73.50,305.41,-51.01,46.80,,,,,
46914,38079,53829,1,73.06,306.11,-51.22,46.83,,,,,
46513,38079,53829,1,75.24,303.79,-55.49,46.95,,,,,
46513,38147,53829,1,75.12,302.80,-59.12,47.06,,,,,
46513,38147,54944,1,74.68,300.84,-61.02,47.20,,,,,
46513,38147,54944,1,74.29,299.91,-61.41,47.22,,,,,
46955,38147,54944,1,72.69,298.64,-62.90,47.35,,,,,
46955,38218,54944,1,72.15,297.45,-63.01,47.45,,,,,
46955,38218,54633,1,71.55,296.70,-63.10,47.60,,,,,
46955,38218,54633,1,71.40,296.71,-63.02,47.62,,,,,
47082,38218,54633,1,71.01,297.23,-63.10,47.75,,,,,
47082,38192,54633,1,71.14,297.29,-64.02,47.85,,,,,
47082,38192,55309,1,71.56,297.10,-65.89,47.99,,,,,
47082,38192,55309,1,71.62,297.29,-66.39,48.02,,,,,
47273,38192,55309,1,69.23,296.73,-65.66,48.15,,,,,
47273,38275,55309,1,68.28,296.09,-64.01,48.25,,,,,
47273,38275,55181,1,65.26,294.09,-61.56,48.39,,,,,
47273,38275,55181,1,66.17,294.73,-61.47,48.42,,,,,
47270,38275,55181,1,70.21,292.17,-63.77,48.55,,,,,
47270,38104,55181,1,70.38,292.52,-63.24,48.65,,,,,
47270,38104,54940,1,71.87,293.52,-64.70,48.79,,,,,
47270,38104,54940,1,72.66,293.26,-64.85,48.82,,,,,
46804,38104,54940,1,73.20,292.88,-65.92,48.94,,,,,
46804,37988,54940,1,73.39,292.09,-67.46,49.05,,,,,
46804,37988,54791,1,75.14,290.94,-69.59,49.19,,,,,
46804,37988,54791,1,74.94,290.75,-69.89,49.22,,,,,
46662,37988,54791,1,74.54,288.76,-71.61,49.34,,,,,
46662,38058,54791,1,76.56,286.71,-74.89,49.45,,,,,
46662,38058,54391,1,75.13,286.55,-76.52,49.59,,,,,
46662,38058,54391,1,75.07,286.11,-76.89,49.61,,,,,
46321,38058,54391,1,76.26,282.55,-78.24,49.74,,,,,
46321,38273,54391,1,76.32,282.35,-79.95,49.84,,,,,
46321,38273,55208,1,76.76,281.11,-80.55,49.98,,,,,
46321,38273,55208,1,76.42,281.35,-80.60,50.01,,,,,
46423,38273,55208,1,77.60,282.16,-82.75,50.13,,,,,
46423,38391,55208,1,77.88,285.46,-86.80,50.24,,,,,
46423,38391,55239,1,73.51,283.08,-84.82,50.38,,,,,
46423,38391,55239,1,73.32,282.36,-84.49,50.41,,,,,
46409,38391,55239,1,73.23,282.20,-85.11,50.53,,,,,
46409,38370,55239,1,72.74,283.19,-83.22,50.64,,,,,
46409,38370,55764,1,71.86,283.83,-82.16,50.78,,,,,
46409,38370,55764,1,72.43,283.50,-82.00,50.81,,,,,
46427,38370,55764,1,71.90,284.19,-80.97,50.93,,,,,
46427,37956,55764,1,70.58,284.35,-78.43,51.04,,,,,
46427,37956,56030,1,66.96,290.47,-72.58,51.18,,,,,
46427,37956,56030,1,64.88,294.55,-71.78,51.21,,,,,
46606,37956,56030,1,57.35,294.90,-61.54,51.33,,,,,
46606,37592,56030,1,48.63,302.97,-51.70,51.44,,,,,
46606,37592,52271,1,44.68,313.32,-45.49,51.57,,,,,
46606,37592,52271,1,46.77,319.79,-43.85,51.60,,,,,
46419,37592,52271,1,41.32,329.39,-38.01,51.72,,,,,
46419,37371,52271,1,31.26,339.97,-32.39,51.83,,,,,
46419,37371,51185,1,24.75,350.05,-26.63,51.96,,,,,
46419,37371,51185,1,23.65,264.64,-25.07,51.99,,,,,
47116,37371,51185,1,-5.05,194.30,-12.28,52.11,,,,,
47116,37234,51185,1,-16.22,140.85,-4.62,52.22,,,,,
47116,37234,52043,1,88.94,90.63,-0.72,52.35,,,,,
47116,37234,52043,1,156.42,68.87,-0.06,52.38,,,,,
46413,37234,52043,1,224.98,31.58,3.62,52.50,,,,,
46413,37455,52043,1,277.80,11.64,7.56,52.61,,,,,
46413,37455,51382,1,329.78,-3.54,12.54,52.74,,,,,
46413,37455,51382,1,339.16,0.70,13.08,52.77,,,,,
46685,37455,51382,1,371.64,-11.79,16.14,52.89,,,,,
46685,38216,51382,1,371.64,-11.79,17.44,53.00,,,,,
46685,38216,51318,1,371.64,-11.79,20.32,53.13,,,,,
46685,38216,51318,1,371.64,-11.79,21.02,53.15,,,,,
46541,38216,51318,1,371.64,-11.79,19.62,53.28,,,,,
46541,38720,51318,1,371.64,-11.79,19.95,53.38,,,,,
46541,38720,50949,1,371.64,-11.79,18.90,53.52,,,,,
46541,38720,50949,1,371.64,-11.79,18.70,53.54,,,,,
46293,38720,50949,1,371.64,-11.79,18.67,53.66,,,,,
46293,38724,50949,1,371.64,-11.79,18.34,53.77,,,,,
46293,38724,51995,1,371.64,-11.79,19.39,53.91,,,,,
46293,38724,51995,1,371.64,-11.79,19.48,53.93,,,,,
46289,38724,51995,1,371.64,-11.79,21.75,54.05,,,,,
46289,38433,51995,1,371.64,-11.79,24.35,54.16,,,,,
46289,38433,50968,1,371.64,-11.79,26.98,54.29,,,,,
46289,38433,50968,1,371.64,-11.79,27.59,54.32,,,,,
46506,38433,50968,1,371.64,-11.79,27.74,54.44,,,,,
46506,38357,50968,1,371.64,-11.79,28.64,54.55,,,,,
46506,38357,52238,1,371.64,-11.79,30.93,54.68,,,,,
46506,38357,52238,1,371.64,-11.79,31.29,54.71,,,,,
46740,38357,52238,1,371.64,-11.79,33.46,54.83,,,,,
46740,38532,52238,1,371.64,-11.79,32.82,54.94,,,,,
46740,38532,50076,1,371.64,-11.79,26.58,55.07,,,,,
46740,38532,50076,1,353.89,14.60,25.65,55.09,,,,,
46388,38532,50076,1,351.69,9.59,25.24,55.22,,,,,
46388,38600,50076,1,347.30,0.69,25.50,55.32,,,,,
46388,38600,50437,1,341.64,-8.80,27.58,55.46,,,,,
46388,38600,50437,1,338.70,-5.63,28.04,55.48,,,,,
46190,38600,50437,1,338.18,-13.23,29.68,55.61,,,,,
46190,38456,50437,1,334.46,80.61,31.66,55.71,,,,,
46190,38456,50214,1,329.27,167.40,34.17,55.84,,,,,
46190,38456,50214,1,328.24,216.01,34.64,55.87,,,,,
45848,38456,50214,1,327.70,270.45,37.70,55.99,,,,,
45848,38373,50214,1,325.96,311.76,39.92,56.10,,,,,
45848,38373,49481,1,319.59,343.82,41.92,56.23,,,,,
45848,38373,49481,1,318.39,345.51,42.23,56.26,,,,,
45280,38373,49481,1,313.58,366.34,44.51,56.38,,,,,
45280,38617,49481,1,313.58,366.34,45.52,56.48,,,,,
45280,38617,49582,1,313.58,366.34,47.38,56.61,,,,,
45280,38617,49582,1,313.58,366.34,47.81,56.64,,,,,
45977,38617,49582,1,313.58,366.34,50.08,56.76,,,,,
45977,39381,49582,1,313.58,366.34,51.76,56.87,,,,,
45977,39381,49603,1,313.58,366.34,52.30,57.00,,,,,
45977,39381,49603,1,313.58,366.34,52.44,57.02,,,,,
45905,39381,49603,1,313.58,366.34,52.91,57.15,,,,,
45905,39071,49603,1,313.58,366.34,53.34,57.25,,,,,
45905,39071,48861,1,313.58,366.34,52.83,57.38,,,,,
45905,39071,48861,1,313.58,366.34,52.72,57.41,,,,,
46084,39071,48861,1,313.58,366.34,52.42,57.53,,,,,
46084,39180,48861,1,313.58,366.34,52.43,57.64,,,,,
46084,39180,49193,1,313.58,366.34,52.47,57.77,,,,,
46084,39180,49193,1,313.58,366.34,52.44,57.79,,,,,
45982,39180,49193,1,312.28,356.76,52.53,57.91,,,,,
45982,38763,49193,1,312.28,351.20,52.35,58.02,,,,,
45982,38763,49292,1,313.34,345.00,52.11,58.15,,,,,
45982,38763,49292,1,314.81,338.54,52.05,58.18,,,,,
46565,38763,49292,1,321.19,340.25,51.31,58.30,,,,,
46565,38455,49292,1,320.27,334.76,51.03,58.41,,,,,
46565,38455,50118,1,321.42,332.55,50.69,58.54,,,,,
46565,38455,50118,1,320.24,327.82,50.67,58.57,,,,,
46459,38455,50118,1,319.83,322.67,50.54,58.69,,,,,
46459,38050,50118,1,317.19,318.70,50.14,58.80,,,,,
46459,38050,50683,1,316.79,315.57,49.79,58.93,,,,,
46459,38050,50683,1,317.03,314.48,49.77,58.95,,,,,
46781,38050,50683,1,316.99,312.68,49.32,59.08,,,,,
46781,37835,50683,1,317.51,313.47,49.04,59.18,,,,,
46781,37835,51017,1,318.56,314.07,48.51,59.32,,,,,
46781,37835,51017,1,318.67,314.25,48.41,59.34,,,,,
46552,37835,51017,1,321.13,317.18,46.95,59.47,,,,,
46552,37473,51017,1,322.29,320.03,45.61,59.57,,,,,
46552,37473,50003,1,324.80,324.90,44.01,59.70,,,,,
46552,37473,50003,1,323.60,325.36,43.68,59.73,,,,,
46601,37473,50003,1,327.90,333.60,41.52,59.85,,,,,
46601,37554,50003,1,330.73,337.26,39.90,59.96,,,,,
46601,37554,50076,1,332.95,344.90,37.88,60.09,,,,,
46601,37554,50076,1,332.85,345.85,37.52,60.12,,,,,
46420,37554,50076,1,334.61,352.24,36.31,60.24,,,,,
46420,37665,50076,1,338.80,359.95,35.11,60.35,,,,,
46420,37665,50304,1,338.80,359.95,34.33,60.48,,,,,
46420,37665,50304,1,341.54,278.81,33.94,60.50,,,,,
46395,37665,50304,1,342.19,201.77,33.36,60.63,,,,,
46395,37222,50304,1,344.24,136.60,31.86,60.73,,,,,
46395,37222,50815,1,340.82,73.56,31.21,60.86,,,,,
46395,37222,50815,1,340.43,51.57,31.12,60.89,,,,,
46438,37222,50815,1,341.70,10.37,29.68,61.01,,,,,
46438,37684,50815,1,341.12,-17.34,29.97,61.12,,,,,
46438,37684,51157,1,341.71,-40.20,29.54,61.25,,,,,
46438,37684,51157,1,341.86,-32.78,29.60,61.28,,,,,
46130,37684,51157,1,343.82,-45.12,28.46,61.40,,,,,
46130,37731,51157,1,348.75,-47.43,26.29,61.51,,,,,
46130,37731,50586,1,354.51,-48.51,24.09,61.64,,,,,
46130,37731,50586,1,355.12,-35.20,23.56,61.67,,,,,
46215,37731,50586,1,357.74,-35.39,21.63,61.79,,,,,
