A,B,C,G,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
47649,37891,42923,0,2.05,12.96,10.41,22.66
47649,37891,42923,0,2.08,16.11,10.48,22.69
48361,37891,42923,0,1.43,10.43,11.54,22.81
48361,38518,42923,0,-8.46,7.83,13.23,22.92
48361,38518,42628,0,84.08,5.09,13.28,23.04
48361,38518,42628,0,151.0,6.21,13.42,23.06
44834,38518,42628,0,216.02,2.15,12.77,23.18
44834,42444,42628,3,276.27,99.24,13.33,23.3
44834,42444,43897,3,325.99,188.55,13.64,23.42
44834,42444,43897,3,339.77,235.3,13.61,23.44
44517,42444,43897,3,373.21,298.89,13.35,23.56
44517,42946,43897,3,373.21,298.89,13.79,23.68
44517,42946,43864,3,373.21,298.89,14.19,23.8
44517,42946,43864,3,373.21,298.89,14.28,23.82
44973,42946,43864,3,373.21,298.89,14.43,23.94
44973,42629,43864,3,373.21,298.89,14.36,24.06
44973,42629,44413,3,373.21,298.89,14.42,24.17
44973,42629,44413,3,373.21,298.89,14.31,24.2
45133,42629,44413,3,373.21,298.89,14.01,24.32
45133,41940,44413,0,373.21,298.89,13.56,24.43
45133,41940,44519,0,373.21,298.89,14.14,24.55
45133,41940,44519,0,373.21,298.89,14.13,24.58
44994,41940,44519,0,373.21,298.89,14.46,24.7
44994,42108,44519,0,373.21,298.89,14.02,24.81
44994,42108,44290,0,373.21,298.89,13.8,24.93
44994,42108,44290,0,373.21,298.89,13.75,24.96
45513,42108,44290,0,373.21,298.89,12.4,25.08
45513,41228,44290,0,373.21,298.89,12.33,25.19
45513,41228,44312,0,373.21,298.89,15.74,25.31
45513,41228,44312,0,373.21,298.89,15.97,25.33
44494,41228,44312,0,373.21,298.89,18.11,25.45
44494,41932,44312,0,373.21,298.89,20.28,25.57
44494,41932,45981,0,373.21,298.89,21.44,25.69
44494,41932,45981,0,373.21,298.89,21.86,25.71
44154,41932,45981,0,373.21,298.89,21.96,25.83
44154,42857,45981,3,373.21,298.89,22.35,25.95
44154,42857,45008,3,373.21,298.89,22.76,26.07
44154,42857,45008,3,357.19,102.23,22.8,26.09
44562,42857,45008,3,355.69,78.39,22.54,26.21
44562,42659,45008,3,352.61,152.08,22.38,26.33
44562,42659,45110,3,349.35,117.35,22.12,26.45
44562,42659,45110,3,346.35,89.76,22.09,26.48
44434,42659,45110,3,343.86,65.79,21.85,26.6
44434,42138,45110,0,341.37,44.95,21.85,26.71
44434,42138,44761,0,339.22,26.81,21.7,26.83
44434,42138,44761,0,338.02,19.0,21.64,26.86
44674,42138,44761,0,336.75,6.78,21.71,26.98
44674,41822,44761,0,335.53,-2.1,21.33,27.09
44674,41822,44895,0,334.71,-9.2,21.42,27.21
44674,41822,44895,0,334.37,-8.18,21.45,27.24
44222,41822,44895,0,334.47,-11.92,21.22,27.36
44222,41767,44895,0,333.09,-12.71,21.02,27.47
44222,41767,44939,0,332.03,-13.98,20.93,27.59
44222,41767,44939,0,332.15,-10.96,20.95,27.62
44182,41767,44939,0,332.28,-12.59,21.49,27.74
44182,41762,44939,0,332.31,-11.92,21.19,27.85
44182,41762,44402,0,332.27,-9.63,21.03,27.97
44182,41762,44402,0,332.66,-6.19,21.03,28.0
44747,41762,44402,0,332.69,-5.63,20.86,28.12
44747,41761,44402,0,332.24,-5.2,20.99,28.23
